,,,To Date,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
All ABO,All Types,,"703,250","42,232","40,087","36,156","41,100","38,801","35,592","35,417","35,033","36,154","36,393","34,831","33,560","34,400","33,646","32,579","32,371","31,209","29,132","27,274","24,617","23,644","22,497","22,378","21,835","19,474","18,406","17,731","17,257"
,Not Applicable,,"1,677",7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,490",13,12,33,120
,Kidney/Pancreas/Kidney-Pancreas: Active,,"572,575","28,366","27,646","25,846","31,145","29,735","27,913","27,644","26,395","25,198","25,120","24,125","23,502","24,367","24,299","23,979","24,549","24,481","24,569","24,537","23,929","23,029","21,972","21,766","19,878","18,989","17,993","17,063","16,209"
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,,938,0,4,26,35,32,18,39,40,18,20,23,19,27,21,40,39,51,52,33,59,60,37,40,40,47,38,36,51
,Kidney/Panc/Kidney-Panc: Active-Critical status,,272,0,3,4,6,5,1,6,6,18,9,5,10,7,14,19,15,13,22,15,27,19,5,13,8,2,7,7,8
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,"174,210","14,383","12,941","10,685","10,345","9,391","7,967","8,074","8,938","11,390","11,725","11,107","10,405","10,365","9,726","8,959","8,113","6,967","4,724","2,788",627,583,514,606,527,450,367,631,947
O,All Types,,"339,331","20,803","19,649","17,688","20,140","18,962","17,205","17,454","16,980","17,581","17,643","16,975","16,237","16,668","16,325","15,759","15,781","15,106","14,114","13,338","11,961","11,496","10,868","10,843","10,481","9,400","8,862","8,552","8,236"
,Not Applicable,,854,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762,9,4,18,58
,Kidney/Pancreas/Kidney-Pancreas: Active,,"277,469","14,233","13,625","12,770","15,382","14,662","13,658","13,652","12,810","12,356","12,164","11,814","11,454","11,807","11,751","11,650","11,960","11,918","11,918","12,028","11,615","11,218","10,640","10,551","9,515","9,154","8,671","8,250","7,739"
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,,458,0,0,14,14,13,9,21,26,6,9,15,10,12,9,23,18,19,22,13,33,29,18,23,21,31,17,17,22
,Kidney/Panc/Kidney-Panc: Active-Critical status,,139,0,3,3,5,4,1,2,5,8,4,5,6,4,6,14,11,5,12,6,10,6,2,5,5,1,3,2,2
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,"83,390","6,820","6,278","5,095","4,937","4,464","3,681","3,963","4,311","5,434","5,680","5,334","4,945","5,031","4,759","4,288","3,969","3,295","2,259","1,338",319,258,224,291,228,221,174,288,449
A,All Types,,"234,742","13,533","12,852","11,756","13,308","12,483","11,709","11,496","11,479","11,808","11,907","11,429","11,234","11,387","11,084","10,740","10,650","10,445","9,674","9,015","8,164","7,812","7,549","7,437","7,419","6,494","6,272","6,021","5,868"
,Not Applicable,,530,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,3,5,12,33
,Kidney/Pancreas/Kidney-Pancreas: Active,,"189,930","8,827","8,795","8,223","9,915","9,378","9,046","8,850","8,677","8,153","8,253","7,919","7,809","8,128","8,044","7,883","8,061","8,168","8,130","8,076","7,914","7,579","7,356","7,216","6,761","6,339","6,119","5,761","5,535"
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,,300,0,1,5,9,9,8,10,7,11,7,7,5,10,3,11,15,26,23,11,18,20,10,11,12,6,12,15,19
,Kidney/Panc/Kidney-Panc: Active-Critical status,,87,0,0,0,1,1,0,2,1,5,3,0,2,2,4,5,3,5,7,5,14,10,2,5,2,0,3,4,2
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,"58,513","4,881","4,211","3,650","3,529","3,216","2,760","2,739","2,900","3,782","3,814","3,650","3,541","3,359","3,156","2,968","2,679","2,365","1,602",959,225,227,191,218,209,152,137,242,309
B,All Types,,"101,621","6,268","6,034","5,367","6,077","5,865","5,305","5,189","5,201","5,394","5,489","5,085","4,830","4,991","4,917","4,835","4,684","4,411","4,180","3,917","3,569","3,415","3,219","3,251","3,088","2,818","2,573","2,486","2,499"
,Not Applicable,,249,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,1,2,2,21
,Kidney/Pancreas/Kidney-Pancreas: Active,,"83,051","4,249","4,181","3,926","4,689","4,577","4,175","4,126","3,905","3,716","3,790","3,478","3,371","3,517","3,554","3,546","3,582","3,449","3,542","3,532","3,500","3,332","3,134","3,171","2,802","2,753","2,519","2,399","2,324"
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,,145,0,2,5,10,7,0,7,5,1,3,1,2,5,9,4,4,5,6,7,7,9,6,6,6,9,6,3,10
,Kidney/Panc/Kidney-Panc: Active-Critical status,,35,0,0,1,0,0,0,1,0,5,2,0,1,0,4,0,1,1,3,2,1,3,1,2,1,0,1,1,4
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,"25,289","2,093","1,927","1,501","1,449","1,329","1,176","1,099","1,346","1,758","1,773","1,680","1,517","1,518","1,424","1,351","1,144",995,674,389,62,79,82,79,74,59,45,84,151
AB,All Types,,"27,670","1,628","1,552","1,346","1,576","1,491","1,374","1,279","1,374","1,371","1,355","1,343","1,260","1,354","1,323","1,248","1,259","1,255","1,166","1,006",923,922,861,847,848,763,699,672,654
,Not Applicable,,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,1,1,8
,
,Kidney/Pancreas/Kidney-Pancreas: Active,,"22,219","1,057","1,045",927,"1,160","1,118","1,035","1,017","1,004",973,914,915,869,915,952,903,948,951,981,903,900,901,842,828,801,744,684,653,611
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,,35,0,1,2,2,3,1,1,2,0,1,0,2,0,0,2,2,1,1,2,1,2,3,0,1,1,3,1,0
,Kidney/Panc/Kidney-Panc: Active-Critical status,,11,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,2,2,0,0,1,0,1,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,"7,024",589,525,439,430,382,350,273,381,416,458,443,402,457,388,352,322,314,189,102,21,19,17,18,16,18,11,17,38
