,,,To Date,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
All ABO,All Transplant,,"703,250","42,232","40,087","36,156","41,100","38,801","35,592","35,417","35,033","36,154","36,393","34,831","33,560","34,400","33,646","32,579","32,371","31,209","29,132","27,274","24,617","23,644","22,497","22,378","21,835","19,474","18,406","17,731","17,257"
,Primary Transplant,,"666,013","38,039","35,942","32,256","36,760","34,628","31,599","31,399","30,953","31,860","32,040","30,627","29,490","30,152","29,381","28,345","28,076","26,987","25,147","23,573","21,308","20,348","19,400","19,501","19,031","16,988","16,081","15,317","14,807"
,Repeat Transplant,,"83,730","4,252","4,204","3,938","4,382","4,211","4,027","4,064","4,113","4,334","4,415","4,285","4,136","4,317","4,352","4,319","4,384","4,320","4,065","3,789","3,382","3,388","3,180","2,975","2,896","2,550","2,396","2,496","2,533"
O,All Transplant,,"339,331","20,803","19,649","17,688","20,140","18,962","17,205","17,454","16,980","17,581","17,643","16,975","16,237","16,668","16,325","15,759","15,781","15,106","14,114","13,338","11,961","11,496","10,868","10,843","10,481","9,400","8,862","8,552","8,236"
,Primary Transplant,,"321,988","18,818","17,694","15,850","18,100","16,993","15,398","15,547","15,110","15,574","15,584","15,018","14,318","14,678","14,300","13,777","13,701","13,166","12,295","11,587","10,456","9,945","9,410","9,449","9,210","8,273","7,813","7,428","7,091"
,Repeat Transplant,,"38,940","2,012","1,982","1,858","2,062","1,988","1,823","1,927","1,885","2,019","2,085","1,991","1,947","2,019","2,064","2,016","2,126","1,984","1,858","1,794","1,542","1,586","1,498","1,431","1,311","1,155","1,075","1,156","1,182"
A,All Transplant,,"234,742","13,533","12,852","11,756","13,308","12,483","11,709","11,496","11,479","11,808","11,907","11,429","11,234","11,387","11,084","10,740","10,650","10,445","9,674","9,015","8,164","7,812","7,549","7,437","7,419","6,494","6,272","6,021","5,868"
,Primary Transplant,,"221,200","12,122","11,440","10,421","11,779","11,053","10,277","10,076","10,051","10,317","10,438","9,958","9,774","9,893","9,603","9,213","9,182","8,886","8,219","7,706","6,921","6,651","6,446","6,435","6,407","5,567","5,400","5,154","4,979"
,Repeat Transplant,,"29,871","1,432","1,435","1,346","1,541","1,445","1,443","1,436","1,443","1,510","1,487","1,495","1,485","1,518","1,512","1,564","1,498","1,596","1,481","1,336","1,265","1,197","1,136","1,043","1,045",950,900,903,922
B,All Transplant,,"101,621","6,268","6,034","5,367","6,077","5,865","5,305","5,189","5,201","5,394","5,489","5,085","4,830","4,991","4,917","4,835","4,684","4,411","4,180","3,917","3,569","3,415","3,219","3,251","3,088","2,818","2,573","2,486","2,499"
,Primary Transplant,,"96,716","5,653","5,427","4,816","5,496","5,285","4,742","4,648","4,611","4,749","4,863","4,482","4,289","4,420","4,353","4,282","4,126","3,893","3,638","3,431","3,145","2,974","2,825","2,892","2,693","2,493","2,263","2,157","2,183"
,Repeat Transplant,,"11,302",624,612,555,588,582,566,545,592,653,641,620,551,584,579,566,568,532,553,499,434,458,400,374,405,332,322,339,326
AB,All Transplant,,"27,670","1,628","1,552","1,346","1,576","1,491","1,374","1,279","1,374","1,371","1,355","1,343","1,260","1,354","1,323","1,248","1,259","1,255","1,166","1,006",923,922,861,847,848,763,699,672,654
,Primary Transplant,,"26,168","1,446","1,381","1,170","1,386","1,297","1,183","1,129","1,182","1,220","1,156","1,170","1,110","1,161","1,127","1,075","1,070","1,049",997,851,786,778,719,725,721,656,605,578,554
,Repeat Transplant,,"3,629",184,175,179,191,196,195,156,193,152,202,179,153,196,198,174,192,209,173,160,141,148,146,127,135,113,99,98,103
