,,,To Date,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
All ABO,All Transplant,,"110,710","3,848","4,916","4,858","3,862","4,100","4,295","4,690","4,796","4,752","4,607","4,619","4,783","4,678","4,688","4,653","4,543","4,517","4,175","4,084","3,881","3,795","3,433","3,186","3,310","2,432","2,071","1,846","1,531"
,Primary Transplant,,"92,980","3,295","4,264","4,272","3,371","3,562","3,697","4,068","4,114","4,072","3,918","3,849","4,071","3,941","3,887","3,857","3,760","3,735","3,411","3,343","3,190","3,185","2,815","2,609","2,651","1,916","1,641","1,446","1,209"
,Repeat Transplant,,"17,945",555,655,589,493,539,599,627,688,688,696,781,721,750,806,804,789,792,772,751,695,618,632,593,669,523,437,408,328
O,All Transplant,,"57,776","2,048","2,610","2,627","2,098","2,205","2,228","2,444","2,484","2,412","2,383","2,414","2,453","2,427","2,458","2,461","2,333","2,305","2,207","2,101","1,965","2,004","1,767","1,671","1,689","1,298","1,079",934,798
,Primary Transplant,,"49,117","1,789","2,282","2,327","1,845","1,952","1,944","2,141","2,152","2,079","2,049","2,047","2,097","2,066","2,053","2,069","1,961","1,960","1,816","1,753","1,629","1,716","1,463","1,387","1,349","1,034",868,748,632
,Repeat Transplant,,"8,761",259,328,301,253,254,285,307,336,337,338,369,360,368,407,397,375,348,394,351,337,294,309,292,346,267,215,191,169
A,All Transplant,,"32,080","1,089","1,399","1,385","1,040","1,144","1,259","1,374","1,415","1,427","1,380","1,367","1,418","1,345","1,364","1,333","1,347","1,356","1,150","1,169","1,167","1,067",997,936,944,665,593,580,430
,Primary Transplant,,"26,300",915,"1,207","1,204",893,973,"1,064","1,168","1,197","1,213","1,158","1,089","1,192","1,106","1,114","1,063","1,084","1,066",905,927,934,862,813,734,747,504,453,429,332
,Repeat Transplant,,"5,841",176,194,183,148,171,195,206,220,217,224,282,231,241,251,271,265,293,247,244,235,206,189,206,199,163,141,152,100
B,All Transplant,,"17,764",637,801,721,628,649,710,734,762,768,713,714,769,737,717,715,753,710,710,673,638,621,576,498,569,401,341,286,258
,Primary Transplant,,"15,130",537,688,642,553,545,606,653,657,659,605,614,665,634,603,614,632,600,603,560,538,534,472,420,469,329,281,236,211
,Repeat Transplant,,"2,676",100,114,79,75,104,104,82,105,110,109,103,104,105,116,103,122,114,110,118,101,88,107,80,102,74,62,51,48
AB,All Transplant,,"3,092",74,106,125,96,102,98,138,135,145,131,124,143,169,149,144,110,146,108,141,111,103,93,82,108,68,58,46,45
,Primary Transplant,,"2,434",54,87,99,80,92,83,106,108,121,106,99,117,135,117,111,83,109,87,103,89,73,67,68,86,49,39,33,34
,Repeat Transplant,,667,20,19,26,17,10,15,32,27,24,25,27,26,36,32,33,27,37,21,38,22,30,27,15,22,19,19,14,11
