,,,To Date,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
All ABO,All Types,,"542,746","25,498","24,670","22,817","23,401","21,167","19,849","19,060","17,878","17,108","16,896","16,487","16,816","16,900","16,829","16,521","16,634","17,095","16,485","16,007","15,138","14,781","14,279","13,631","12,767","12,455","11,710","11,411","11,084","10,646","10,360","9,738","9,678","9,416","8,656","8,878"
,Not Applicable,,"49,405",107,120,84,100,96,100,104,122,349,567,623,735,974,"1,178","1,290","1,593","1,908","2,193","2,510","2,713","2,700","2,829","2,625","2,345","2,299","2,077","2,062","1,991","1,885","1,986","1,820","1,838","1,714","1,784","1,984"
,Kidney/Pancreas/Kidney-Pancreas: Active,,"462,800","23,342","22,714","21,199","21,492","19,341","18,152","17,437","16,351","15,445","15,123","14,743","14,898","14,734","14,626","14,272","14,118","14,378","13,622","13,052","12,081","11,773","11,201","10,763","10,185","9,928","9,423","9,125","8,776","8,455","8,029","7,478","7,298","6,896","6,104","6,246"
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,,"1,330",0,0,6,14,8,8,12,14,20,21,8,25,28,21,30,35,37,37,27,35,22,40,41,56,52,55,55,65,48,60,69,87,82,90,122
,Kidney/Panc/Kidney-Panc: Active-Critical status,,609,0,0,3,3,5,3,6,2,4,7,9,7,8,19,11,16,15,25,28,34,37,19,18,25,19,13,14,22,12,28,18,27,30,52,70
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,"28,602","2,049","1,836","1,525","1,792","1,717","1,586","1,501","1,389","1,290","1,178","1,104","1,151","1,156",985,918,872,757,608,390,275,249,190,184,156,157,142,155,230,246,257,353,428,694,626,456
O,All Types,,"245,008","11,724","11,359","10,393","10,616","9,523","8,995","8,612","8,088","7,659","7,631","7,314","7,606","7,637","7,604","7,336","7,606","7,665","7,407","7,312","6,948","6,631","6,401","6,129","5,543","5,546","5,139","5,077","4,936","4,860","4,660","4,505","4,366","4,172","3,968","4,040"
,Not Applicable,,"21,621",47,52,33,42,38,41,42,61,159,230,277,321,430,503,585,700,825,978,"1,112","1,212","1,210","1,232","1,158",991,999,865,936,852,823,863,843,777,739,820,825
,Kidney/Pancreas/Kidney-Pancreas: Active,,"210,008","10,820","10,524","9,710","9,814","8,761","8,280","7,896","7,427","6,944","6,876","6,588","6,785","6,679","6,642","6,332","6,481","6,486","6,131","5,983","5,571","5,272","5,042","4,863","4,448","4,429","4,169","4,030","3,953","3,894","3,642","3,454","3,337","3,049","2,802","2,894"
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,,679,0,0,2,6,4,3,8,6,6,13,2,14,12,13,12,21,14,14,14,20,10,19,23,29,33,25,29,30,26,36,38,48,45,41,63
,Kidney/Panc/Kidney-Panc: Active-Critical status,,313,0,0,2,1,3,1,3,2,2,4,6,4,0,10,7,8,6,11,17,19,16,12,7,12,13,6,7,12,6,15,8,21,10,23,39
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,"12,387",857,783,646,753,717,670,663,592,548,508,441,482,516,436,400,396,334,273,186,126,123,96,78,63,72,74,75,89,111,104,162,183,329,282,219
A,All Types,,"201,343","8,864","8,678","8,180","8,372","7,553","7,214","7,001","6,470","6,364","6,254","6,150","6,227","6,124","6,236","6,158","6,117","6,354","6,187","5,931","5,635","5,610","5,466","5,216","4,925","4,768","4,586","4,474","4,292","4,046","4,060","3,674","3,760","3,721","3,263","3,413"
,Not Applicable,,"20,056",34,49,37,38,42,43,35,46,142,239,243,312,393,481,511,660,774,890,994,"1,081","1,055","1,152","1,053",957,935,902,803,815,774,818,722,792,684,689,861
,Kidney/Pancreas/Kidney-Pancreas: Active,,"169,317","8,026","7,896","7,525","7,615","6,801","6,506","6,367","5,863","5,699","5,526","5,439","5,422","5,283","5,358","5,272","5,119","5,255","5,048","4,776","4,431","4,456","4,232","4,067","3,867","3,759","3,615","3,581","3,347","3,159","3,106","2,779","2,769","2,731","2,283","2,339"
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,,394,0,0,2,3,0,3,1,4,7,2,5,6,7,3,11,10,14,15,10,9,5,10,13,16,11,20,21,18,14,16,19,22,25,37,35
,Kidney/Panc/Kidney-Panc: Active-Critical status,,207,0,0,1,2,2,1,1,0,2,2,3,2,7,7,3,4,6,8,4,11,16,7,10,8,4,4,4,5,5,8,7,5,15,21,22
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,"11,369",804,733,615,714,708,661,597,557,514,485,460,485,434,387,361,324,305,226,147,103,78,65,73,77,59,45,65,107,94,112,147,172,266,233,156
