,,,To Date,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
All Donor Types,All ABO,,"448,584","19,482","20,405","18,314","19,259","17,566","16,467","15,946","15,068","14,415","14,258","14,011","14,150","14,504","14,632","14,207","14,400","14,750","14,497","14,155","13,285","12,822","12,703","11,942","10,872","10,363","9,546","9,222","8,859","8,203","7,766","7,091","6,953","6,632","5,930","5,909"
,O,,"243,983","10,201","10,733","9,592","10,313","9,378","8,841","8,614","8,198","7,770","7,746","7,592","7,745","7,961","8,175","7,857","8,038","8,269","8,116","8,054","7,633","7,275","7,251","6,751","5,937","5,728","5,195","5,023","4,750","4,339","4,089","3,791","3,594","3,317","3,109","3,008"
,A,,"148,302","6,610","6,950","6,287","6,423","5,831","5,569","5,325","4,961","4,753","4,703","4,606","4,576","4,663","4,703","4,589","4,579","4,696","4,661","4,456","4,127","4,118","4,018","3,799","3,582","3,392","3,157","3,100","3,019","2,841","2,708","2,408","2,461","2,436","2,047","2,148"
,B,,"45,259","2,080","2,143","1,920","1,998","1,918","1,630","1,623","1,508","1,509","1,466","1,463","1,474","1,536","1,465","1,450","1,408","1,448","1,389","1,372","1,255","1,165","1,189","1,134","1,082","1,001",956,877,870,820,805,689,690,683,629,614
,AB,,"10,943",588,578,515,525,438,427,382,401,381,342,350,355,344,288,311,375,337,331,273,270,264,245,255,258,227,238,222,219,203,149,187,203,185,141,136
,Unknown,,97,3,1,0,0,1,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,3,13,15,0,0,1,0,15,16,5,11,4,3
Deceased Donor,All ABO,,"264,036","13,529","13,863","12,588","11,870","10,721","10,286","9,971","9,079","8,596","8,269","8,143","8,126","7,943","8,022","7,989","8,085","8,017","7,593","7,150","6,457","6,190","6,080","5,985","5,824","5,793","5,479","5,418","5,363","5,099","4,861","4,520","4,526","4,509","4,012","4,080"
,O,,"126,400","6,547","6,720","6,002","5,673","5,104","4,935","4,785","4,406","4,104","3,979","3,829","3,903","3,803","3,840","3,809","3,966","3,845","3,659","3,456","3,164","2,916","2,863","2,859","2,713","2,772","2,626","2,547","2,587","2,450","2,329","2,181","2,162","2,056","1,909","1,901"
,A,,"98,210","4,939","5,124","4,663","4,387","3,921","3,850","3,708","3,305","3,167","3,059","3,021","2,961","2,889","3,001","2,961","2,878","2,931","2,816","2,627","2,379","2,373","2,315","2,251","2,225","2,193","2,046","2,129","2,018","1,909","1,857","1,694","1,708","1,797","1,523","1,585"
,B,,"30,454","1,552","1,557","1,470","1,403","1,325","1,153","1,174","1,037","1,022",962,"1,019",975,968,948,969,929,957,851,847,697,688,701,673,675,656,605,560,582,561,549,477,484,499,454,475
,AB,,"8,953",488,461,453,407,370,348,302,331,301,268,274,287,283,232,250,312,284,267,220,217,213,201,202,210,172,202,182,176,179,126,166,172,155,124,118
,Unknown,,19,3,1,0,0,1,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,2,1
Living Donor,All ABO,,"184,548","5,953","6,542","5,726","7,389","6,845","6,181","5,975","5,989","5,819","5,989","5,868","6,024","6,561","6,610","6,218","6,315","6,733","6,904","7,005","6,828","6,632","6,623","5,957","5,048","4,570","4,067","3,804","3,496","3,104","2,905","2,571","2,427","2,123","1,918","1,829"
,O,,"117,583","3,654","4,013","3,590","4,640","4,274","3,906","3,829","3,792","3,666","3,767","3,763","3,842","4,158","4,335","4,048","4,072","4,424","4,457","4,598","4,469","4,359","4,388","3,892","3,224","2,956","2,569","2,476","2,163","1,889","1,760","1,610","1,432","1,261","1,200","1,107"
,A,,"50,092","1,671","1,826","1,624","2,036","1,910","1,719","1,617","1,656","1,586","1,644","1,585","1,615","1,774","1,702","1,628","1,701","1,765","1,845","1,829","1,748","1,745","1,703","1,548","1,357","1,199","1,111",971,"1,001",932,851,714,753,639,524,563
,B,,"14,805",528,586,450,595,593,477,449,471,487,504,444,499,568,517,481,479,491,538,525,558,477,488,461,407,345,351,317,288,259,256,212,206,184,175,139
,AB,,"1,990",100,117,62,118,68,79,80,70,80,74,76,68,61,56,61,63,53,64,53,53,51,44,53,48,55,36,40,43,24,23,21,31,30,17,18
,Unknown,,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,15,0,0,1,0,15,14,5,9,2,2
