,,,To Date,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
All Donor Types,All Ethnicities,,"448,584","19,482","20,405","18,314","19,259","17,566","16,467","15,946","15,068","14,415","14,258","14,011","14,150","14,504","14,632","14,207","14,400","14,750","14,497","14,155","13,285","12,822","12,703","11,942","10,872","10,363","9,546","9,222","8,859","8,203","7,766","7,091","6,953","6,632","5,930","5,909"
,"White, Non-Hispanic",,"314,476","13,000","13,779","12,375","13,057","11,810","11,221","10,843","10,163","9,828","9,648","9,540","9,636","9,849","9,988","9,666","9,875","10,184","9,982","9,851","9,277","9,187","9,133","8,709","7,923","7,648","7,007","6,841","6,686","6,186","5,863","5,421","5,418","5,326","4,754","4,802"
,"Black, Non-Hispanic",,"58,312","2,566","2,582","2,372","2,414","2,304","2,127","2,122","2,029","1,944","2,021","1,981","1,995","2,088","2,055","2,007","1,996","2,065","2,027","1,920","1,766","1,614","1,593","1,426","1,335","1,229","1,183","1,143","1,053","1,016",957,836,757,658,562,569
,Hispanic/Latino,,"58,749","3,004","3,109","2,730","2,892","2,635","2,378","2,303","2,186","2,042","2,017","1,921","1,994","2,037","2,048","1,979","1,990","1,985","1,943","1,882","1,733","1,582","1,527","1,377","1,246","1,147","1,054",942,867,744,787,635,612,520,470,431
,Unknown,,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,1,3,21,44,28,65,21,10,10,38,21,20,15,11
,"Asian, Non-Hispanic",,"11,677",620,602,564,632,555,529,500,515,437,416,429,400,405,418,423,395,364,380,367,340,303,326,317,232,205,193,157,141,154,67,79,62,48,65,37
,"American Indian/Alaska Native, Non-Hispanic",,"2,117",138,118,112,80,91,82,65,69,66,63,62,54,55,61,67,71,67,75,58,62,60,63,48,60,31,43,36,55,42,23,30,32,25,27,26
,"Pacific Islander, Non-Hispanic",,"1,427",52,62,53,42,50,39,45,29,38,37,28,25,25,27,26,25,26,21,29,55,49,52,57,52,58,35,37,36,51,59,51,51,35,37,33
,"Multiracial, Non-Hispanic",,"1,498",102,153,108,142,121,91,68,77,60,56,50,46,45,35,39,48,59,69,48,33,26,8,5,3,1,3,1,0,0,0,1,0,0,0,0
Deceased Donor,All Ethnicities,,"264,036","13,529","13,863","12,588","11,870","10,721","10,286","9,971","9,079","8,596","8,269","8,143","8,126","7,943","8,022","7,989","8,085","8,017","7,593","7,150","6,457","6,190","6,080","5,985","5,824","5,793","5,479","5,418","5,363","5,099","4,861","4,520","4,526","4,509","4,012","4,080"
