,,To Date,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
All Ages,,"1,111,208","57,643","60,540","55,120","61,223","58,702","54,884","54,295","53,048","54,238","54,028","51,694","50,586","51,812","50,284","48,882","48,302","46,997","44,535","43,046","39,924","38,586","39,319","39,282","38,106","35,368","32,773","31,399","30,471"
< 1 Year,,"13,035",435,431,459,462,481,438,501,453,436,467,432,457,445,529,561,519,506,488,470,437,464,517,490,485,516,494,436,424
1-5 Years,,"13,258",497,548,536,560,573,652,580,600,589,580,503,505,546,495,518,531,485,467,454,420,451,482,424,398,392,429,395,456
6-10 Years,,"8,544",335,334,312,321,398,346,352,367,335,325,331,304,319,307,317,299,303,320,338,302,278,276,315,307,324,309,282,313
11-17 Years,,"24,452","1,048","1,117","1,030","1,049","1,021","1,039",974,"1,037",992,964,906,967,906,917,939,906,"1,005",918,942,901,850,905,798,840,832,760,786,742
18-34 Years,,"128,043","5,583","5,986","5,486","6,201","5,866","5,614","5,587","5,488","5,693","5,608","5,432","5,416","5,546","5,544","5,508","5,441","5,509","5,559","5,491","5,202","5,212","5,314","5,265","5,657","5,161","5,239","5,091","5,236"
35-49 Years,,"307,644","13,362","14,303","12,606","14,001","13,473","12,567","12,358","12,501","12,513","12,682","12,316","12,226","12,837","12,806","12,759","13,203","13,053","12,992","12,735","12,394","12,469","12,985","13,475","13,278","12,334","11,791","11,521","11,209"
50-64 Years,,"502,185","23,767","25,186","23,132","25,817","25,013","23,713","24,047","23,312","24,567","24,441","23,744","23,103","23,558","22,557","21,734","21,345","20,537","18,882","18,186","16,479","15,583","15,638","15,380","14,357","13,366","11,697","10,970","10,439"
65 +,,"178,715","12,672","12,681","11,612","12,874","11,926","10,561","9,943","9,332","9,167","9,016","8,085","7,653","7,696","7,172","6,590","6,100","5,657","4,968","4,490","3,843","3,332","3,258","3,188","2,868","2,488","2,093","1,956","1,695"
Unknown,,7,0,0,0,0,0,0,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
