,,,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
O,Primary,Active,12946,12349,11495,13891,13213,12268,12210,11432,10964,10773,10483,10108,10421,10334,10212,10436,10399,10414,10459,10169,9721,9216,9198,8354,8068,7649,7171,6654
,,Urgent,0,0,13,13,11,9,19,23,5,6,11,8,9,7,17,13,12,16,12,28,19,13,18,17,21,13,12,17
,,Critical,0,3,3,4,3,1,2,5,5,2,4,6,2,6,12,10,4,9,5,8,6,2,5,2,1,3,1,1
,,Inactive,6086,5567,4500,4350,3924,3243,3466,3794,4781,4983,4680,4345,4388,4111,3705,3380,2854,1924,1146,262,212,189,248,182,184,147,244,396
,Repeat,Active,1298,1285,1281,1502,1462,1400,1453,1386,1398,1404,1350,1360,1396,1442,1458,1561,1550,1532,1604,1480,1531,1461,1386,1192,1111,1046,1108,1118
,,Urgent,0,0,1,1,2,0,2,3,1,3,4,2,3,2,6,5,7,6,1,5,10,5,5,4,10,4,5,6
,,Critical,0,0,0,1,1,0,0,0,3,2,1,0,2,0,2,1,1,3,1,2,0,0,0,3,0,0,1,1
,,Inactive,736,715,596,587,540,439,497,519,655,698,658,604,651,651,584,590,443,338,195,57,46,35,43,47,37,27,44,53
A,Primary,Active,7949,7877,7348,8814,8334,7952,7783,7604,7139,7260,6936,6821,7061,6990,6769,6964,6991,6929,6918,6732,6461,6291,6254,5826,5438,5268,4939,4711
,,Urgent,0,1,4,8,6,6,9,6,9,3,5,4,8,2,7,14,19,16,5,13,15,6,6,11,4,11,10,10
,,Critical,0,0,0,1,0,0,2,0,5,3,0,2,1,4,4,1,4,4,3,12,7,2,4,2,0,3,3,2
,,Inactive,4319,3691,3172,3075,2814,2407,2366,2519,3276,3317,3129,3047,2915,2701,2523,2286,1966,1331,804,170,180,154,179,169,127,114,195,251
,Repeat,Active,888,932,881,1104,1054,1102,1075,1082,1022,1006,993,1005,1083,1073,1134,1118,1202,1217,1180,1204,1149,1098,1000,965,922,877,853,855
,,Urgent,0,0,1,1,3,2,1,1,2,4,2,1,2,1,4,1,7,7,6,5,5,4,5,1,2,1,5,9
,,Critical,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,1,3,2,2,3,0,1,0,0,0,1,0
,,Inactive,565,523,480,455,403,353,373,381,511,497,526,499,444,456,449,395,404,273,156,55,48,37,40,40,26,23,47,58
B,Primary,Active,3844,3777,3543,4276,4157,3737,3708,3468,3266,3365,3070,2990,3135,3158,3156,3164,3059,3092,3091,3087,2901,2749,2825,2440,2438,2219,2080,2035
,,Urgent,0,1,5,9,6,0,7,5,1,3,1,2,4,7,1,1,3,4,6,5,9,5,5,3,7,6,3,9
,,Critical,0,0,1,0,0,0,1,0,3,2,0,1,0,2,0,1,1,2,2,1,3,1,2,1,0,1,1,2
,,Inactive,1873,1711,1324,1269,1164,1045,972,1178,1548,1557,1471,1346,1323,1246,1176,995,857,575,341,53,66,72,66,63,51,35,73,126
,Repeat,Active,409,407,384,416,421,440,421,437,454,434,418,385,392,406,397,424,400,457,453,423,447,390,361,371,322,312,328,297
,,Urgent,0,1,0,1,1,0,0,0,0,0,0,0,1,2,3,3,2,2,1,2,0,1,1,3,2,0,0,2
,,Critical,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2
,,Inactive,221,216,177,180,165,131,127,168,211,218,210,173,195,179,177,150,138,99,48,9,13,10,13,11,8,10,11,25
AB,Primary,Active,958,931,809,1032,963,892,891,868,871,788,801,758,797,813,774,816,801,838,765,765,761,703,714,681,638,590,560,523
,,Urgent,0,1,2,2,3,1,1,2,0,1,0,2,0,0,2,1,1,0,2,1,2,2,0,1,0,3,0,0
,,Critical,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0
,,Inactive,504,463,374,367,342,297,247,325,365,381,379,360,379,328,306,265,256,162,85,19,15,15,11,12,18,11,17,28
,Repeat,Active,100,115,120,128,156,145,130,137,102,129,114,113,121,141,130,135,152,146,143,139,144,143,119,127,111,99,97,90
,,Urgent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
,,Critical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
,,Inactive,86,63,65,63,40,53,26,56,51,77,67,42,78,60,46,57,58,27,17,2,4,2,7,4,1,0,0,10
