Blood type,Priority,Patients arrived,Patients dead,Patients reneged,Patients in queue,Avg inter-arrival times,CI inter-arrival times,Avg wait,CI wait,Avg delay,CI delay,Avg service time,CI service time,Avg # in the node,CI # in the node,Avg # in the queue,CI # in the queue,Utilization,CI utilization
0,critical,102.000000,4.000000,10.000000,3.000000,17.662805,+/-0.624116,51.323581,+/-2.000565,29.551186,+/-2.327120,21.772395,+/-1.434876,2.423816,+/-0.117010,1.423813,+/-0.117013,0.033631,+/-0.000000
0,active,68931.000000,4496.000000,7581.000000,47439.000000,0.025974,+/-0.000041,1988.619502,+/-358.325447,1988.464096,+/-358.317468,0.155406,+/-0.009014,11436.179560,+/-1779.885951,11435.179557,+/-1779.885952,0.033631,+/-0.000000
0,inactive,21883.000000,5188.000000,16693.000000,1.000000,0.082354,+/-0.000119,3276.937353,+/-468.577960,2361.797566,+/-333.286219,915.139787,+/-135.365007,3.657601,+/-0.043904,2.657598,+/-0.043900,0.033631,+/-0.000000
A,critical,65.000000,0.000000,0.000000,0.000000,28.094805,+/-0.954662,30.899501,+/-1.007378,2.753169,+/-0.111432,28.146332,+/-0.957506,1.098788,+/-0.004031,0.098785,+/-0.004037,0.033631,+/-0.000000
A,active,49792.000000,2190.000000,4093.000000,1710.000000,0.036754,+/-0.000223,35.857870,+/-2.693975,35.811910,+/-2.695023,0.045960,+/-0.001426,804.503928,+/-69.568324,803.503925,+/-69.568327,0.033631,+/-0.000000
A,inactive,15419.000000,3637.000000,11778.000000,4.000000,0.117787,+/-0.000556,0.000000,+/-0.000000,0.000000,+/-0.000000,0.000000,+/-0.000000,7.052741,+/-0.142432,6.052738,+/-0.142435,0.033631,+/-0.000000
B,critical,26.000000,0.000000,0.000000,0.000000,62.134194,+/-6.149315,68.778870,+/-6.626926,5.959210,+/-0.585577,62.819660,+/-6.193779,1.087746,+/-0.009305,0.087743,+/-0.009307,0.033631,+/-0.000000
B,active,23284.000000,1390.000000,2307.000000,795.000000,0.077783,+/-0.000194,37.060103,+/-2.837278,36.959551,+/-2.838993,0.100552,+/-0.002804,377.160099,+/-31.834348,376.160096,+/-31.834350,0.033631,+/-0.000000
B,inactive,6718.000000,1588.000000,5123.000000,6.000000,0.268962,+/-0.000685,3248.417691,+/-483.633033,2333.277904,+/-348.346623,915.139787,+/-135.365007,3.493672,+/-0.053988,2.493668,+/-0.053993,0.033631,+/-0.000000
AB,critical,14.000000,0.000000,0.000000,0.000000,119.392635,+/-11.924314,119.940372,+/-11.975066,0.546425,+/-0.053876,119.393947,+/-11.924490,1.004161,+/-0.000387,0.004158,+/-0.000390,0.033631,+/-0.000000
AB,active,5897.000000,193.000000,373.000000,86.000000,0.305620,+/-0.002711,14.043207,+/-0.588428,13.695424,+/-0.592903,0.347783,+/-0.008371,40.825243,+/-1.917883,39.825240,+/-1.917887,0.033631,+/-0.000000
AB,inactive,1744.000000,374.000000,1303.000000,57.000000,1.016649,+/-0.013227,4336.805912,+/-632.351120,4125.573683,+/-601.982711,211.232229,+/-30.615415,20.197556,+/-0.910186,19.197553,+/-0.910190,0.033631,+/-0.000000
