Blood type,Priority,Patients arrived,Patients dead,Patients reneged,Patients in queue,Avg inter-arrival times,CI inter-arrival times,Avg wait,CI wait,Avg delay,CI delay,Avg service time,CI service time,Avg # in the node,CI # in the node,Avg # in the queue,CI # in the queue,Utilization,CI utilization
0,critical,90.000000,1.000000,0.000000,0.000000,77.786986,+/-37.074934,8.312560,+/-0.855463,0.415556,+/-0.042452,7.897004,+/-0.813687,0.435565,+/-0.045388,0.021810,+/-0.002273,0.021633,+/-1.646060
0,active,65111.000000,4507.000000,7440.000000,48211.000000,0.104149,+/-0.035491,794.275666,+/-104.990402,794.246792,+/-104.987444,0.028874,+/-0.003008,11382.754633,+/-1506.093041,11382.340878,+/-1506.050608,0.021633,+/-1.646060
0,inactive,22140.000000,5291.000000,16849.000000,0.000000,0.318697,+/-0.116432,0.000000,+/-0.000000,0.000000,+/-0.000000,0.000000,+/-0.000000,1.538262,+/-0.171744,1.124507,+/-0.128719,0.021633,+/-1.646060
A,critical,49.000000,0.000000,0.000000,0.000000,182.181321,+/-67.880114,13.260521,+/-1.321790,0.154135,+/-0.017274,13.106386,+/-1.305377,0.418646,+/-0.043686,0.004891,+/-0.000562,0.021633,+/-1.646060
A,active,38774.000000,2162.000000,4257.000000,21817.000000,0.179982,+/-0.066517,378.016509,+/-50.487706,377.986009,+/-50.484564,0.030500,+/-0.003196,5126.227527,+/-681.975746,5125.813772,+/-681.933342,0.021633,+/-1.646060
A,inactive,15620.000000,3644.000000,11973.000000,3.000000,0.440032,+/-0.153815,0.000000,+/-0.000000,0.000000,+/-0.000000,0.000000,+/-0.000000,2.758346,+/-0.287501,2.344591,+/-0.244670,0.021633,+/-1.646060
B,critical,32.000000,0.000000,0.000000,0.000000,280.067822,+/-80.082395,28.509810,+/-2.472485,0.333267,+/-0.059812,28.176543,+/-2.426585,0.418932,+/-0.044075,0.005178,+/-0.001030,0.021633,+/-1.646060
B,active,19379.000000,1424.000000,2266.000000,11086.000000,0.354275,+/-0.122835,436.859814,+/-59.564205,436.788254,+/-59.556774,0.071561,+/-0.007568,2523.152260,+/-340.327071,2522.738505,+/-340.284729,0.021633,+/-1.646060
B,inactive,6779.000000,1543.000000,5235.000000,2.000000,1.041281,+/-0.371597,1608.708447,+/-233.125899,1151.109110,+/-165.492741,457.599337,+/-67.687489,1.459271,+/-0.148082,1.045516,+/-0.105046,0.021633,+/-1.646060
AB,critical,11.000000,0.000000,0.000000,0.000000,495.426260,+/-121.784280,53.800680,+/-5.144559,0.072726,+/-0.017862,53.727954,+/-5.131710,0.414349,+/-0.043279,0.000594,+/-0.000155,0.021633,+/-1.646060
AB,active,4143.000000,209.000000,363.000000,1536.000000,1.627327,+/-0.534304,178.609623,+/-23.448919,178.406243,+/-23.428190,0.203380,+/-0.021073,363.515785,+/-47.940166,363.102030,+/-47.897706,0.021633,+/-1.646060
AB,inactive,1781.000000,405.000000,1326.000000,80.000000,4.102441,+/-1.564580,6599.148358,+/-1334.574568,6446.615246,+/-1312.303977,152.533112,+/-22.562496,16.909576,+/-2.836987,16.495821,+/-2.795683,0.021633,+/-1.646060
