ABO,Priorità,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
All ABO,All Types,38209,36615,35806,35255,33964,31404,29921,28865,28705,27802,27104
,Critical,20,15,15,27,19,31,32,24,49,55,61
,Normal,26030,23850,22750,22012,21151,19945,19615,18972,19268,19133,18986
,Low,13335,13852,14119,14301,13844,12378,11162,10689,10177,9349,8736
O,All Types,18433,17616,17270,17020,16392,15034,14327,13733,13701,13369,13068
,Critical,8,8,8,17,10,14,17,10,28,20,40
,Normal,12252,11181,10682,10318,9962,9339,9198,8804,9093,8999,8925
,Low,6752,6985,7119,7229,6914,6153,5546,5303,4988,4719,4434
A,All Types,12573,12041,11874,11818,11209,10645,10116,9808,9751,9224,9146
,Critical,7,2,4,3,5,10,7,12,13,19,12
,Normal,8846,8043,7862,7686,7191,7015,6857,6700,6679,6523,6643
,Low,4081,4334,4336,4486,4361,3938,3536,3366,3309,2915,2719
B,All Types,5654,5509,5250,5099,4942,4507,4268,4122,4086,4059,3811
,Critical,2,4,2,5,4,6,6,2,6,15,7
,Normal,3711,3556,3209,3097,2986,2753,2696,2585,2621,2744,2590
,Low,2137,2124,2214,2140,2116,1871,1699,1663,1564,1416,1301
AB,All Types,1549,1450,1412,1318,1421,1218,1210,1203,1169,1150,1079
,Critical,3,1,1,2,0,1,2,0,2,1,2
,Normal,1221,1070,997,911,1012,838,864,883,877,867,828
,Low,365,410,450,446,453,416,381,357,316,299,282
