,,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
All ABO,All Types,41100,38801,35592,35417,35033,36154,36393,34831,33560,34400,33646
,Critical,41,37,19,45,46,36,29,28,29,34,35
,Normal,31145,29735,27913,27644,26395,25197,25120,24125,23502,24367,24299
,Low,10345,9391,7967,8074,8938,11390,11725,11107,10405,10365,9726
O,All Types,20140,18962,17205,17454,16980,17581,17643,16975,16237,16668,16325
,Critical,19,17,10,23,31,14,13,20,16,16,15
,Normal,15382,14662,13658,13652,12810,12356,12164,11814,11454,11807,11751
,Low,4937,4464,3681,3963,4311,5434,5680,5334,4945,5031,4759
A,All Types,13308,12483,11709,11496,11479,11808,11907,11429,11234,11387,11084
,Critical,10,10,8,12,8,16,10,7,7,12,7
,Normal,9915,9378,9046,8850,8677,8153,8253,7919,7809,8128,8044
,Low,3529,3216,2760,2739,2900,3782,3814,3650,3541,3359,3156
B,All Types,6077,5865,5305,5189,5201,5394,5489,5085,4830,4991,4917
,Critical,10,7,0,8,5,6,5,1,3,5,13
,Normal,4689,4577,4175,4126,3905,3716,3790,3478,3371,3517,3554
,Low,1449,1329,1176,1099,1346,1758,1773,1680,1517,1518,1424
AB,All Types,1576,1491,1374,1279,1374,1371,1355,1343,1260,1354,1323
,Critical,2,3,1,2,2,0,1,0,3,1,0
,Normal,1160,1118,1035,1017,1004,973,914,915,869,915,952
,Low,430,382,350,273,381,416,458,443,402,457,388
