,,,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
All ABO,All Types,All Donor Types,23401,21167,19849,19060,17878,17108,16896,16487,16816,16900,16829
,,Deceased Donor,16534,14725,14038,13431,12250,11570,11163,10868,11043,10622,10442
,,Living Donor,6867,6442,5811,5629,5628,5538,5733,5619,5773,6278,6387
,Critical,All Donor Types,17,13,11,18,16,24,28,17,32,36,40
,,Deceased Donor,14,12,10,17,15,21,25,17,29,32,34
,,Living Donor,3,1,1,1,1,3,3,0,3,4,6
,Not Applicable,All Donor Types,100,96,100,104,122,349,567,623,735,974,1178
,,Deceased Donor,40,26,35,25,18,25,30,29,33,43,59
,,Living Donor,60,70,65,79,104,324,537,594,702,931,1119
,Normal,All Donor Types,21491,19341,18152,17437,16351,15445,15123,14743,14898,14734,14626
,,Deceased Donor,16459,14678,13979,13385,12205,11519,11101,10817,10974,10536,10340
,,Living Donor,5032,4663,4173,4052,4146,3926,4022,3926,3924,4198,4286
,Low,All Donor Types,1793,1717,1586,1501,1389,1290,1178,1104,1151,1156,985
,,Deceased Donor,21,9,14,4,12,5,7,5,7,11,9
,,Living Donor,1772,1708,1572,1497,1377,1285,1171,1099,1144,1145,976
O,All Types,All Donor Types,10616,9523,8995,8612,8088,7659,7631,7314,7606,7637,7604
,,Deceased Donor,7620,6689,6507,6101,5669,5246,5124,4896,5061,4884,4726
,,Living Donor,2996,2834,2488,2511,2419,2413,2507,2418,2545,2753,2878
,Critical,All Donor Types,7,7,4,11,8,8,17,8,18,12,23
,,Deceased Donor,5,7,4,10,8,8,15,8,16,11,20
,,Living Donor,2,0,0,1,0,0,2,0,2,1,3
,Not Applicable,All Donor Types,42,38,41,42,61,159,230,277,321,430,503
,,Deceased Donor,17,6,16,6,8,10,15,17,14,25,19
,,Living Donor,25,32,25,36,53,149,215,260,307,405,484
,Normal,All Donor Types,9814,8761,8280,7896,7427,6944,6876,6588,6785,6679,6642
,,Deceased Donor,7586,6673,6483,6085,5650,5227,5091,4870,5030,4846,4685
,,Living Donor,2228,2088,1797,1811,1777,1717,1785,1718,1755,1833,1957
,Low,All Donor Types,753,717,670,663,592,548,508,441,482,516,436
,,Deceased Donor,12,3,4,0,3,1,3,1,1,2,2
,,Living Donor,741,714,666,663,589,547,505,440,481,514,434
A,All Types,All Donor Types,8372,7553,7214,7001,6470,6364,6254,6150,6227,6124,6236
,,Deceased Donor,5748,5092,4900,4840,4255,4228,4032,3925,3969,3727,3815
,,Living Donor,2624,2461,2314,2161,2215,2136,2222,2225,2258,2397,2421
,Critical,All Donor Types,5,2,4,2,4,9,4,8,8,14,10
,,Deceased Donor,4,2,3,2,3,7,3,8,7,13,8
,,Living Donor,1,0,1,0,1,2,1,0,1,1,2
,Not Applicable,All Donor Types,38,42,43,35,46,142,239,243,312,393,481
,,Deceased Donor,15,14,14,8,9,12,14,8,13,15,32
,,Living Donor,23,28,29,27,37,130,225,235,299,378,449
,Normal,All Donor Types,7614,6801,6506,6367,5863,5699,5526,5439,5422,5283,5358
,,Deceased Donor,5725,5074,4875,4828,4236,4207,4014,3908,3944,3694,3771
,,Living Donor,1889,1727,1631,1539,1627,1492,1512,1531,1478,1589,1587
,Low,All Donor Types,715,708,661,597,557,514,485,460,485,434,387
,,Deceased Donor,4,2,8,2,7,2,1,1,5,5,4
,,Living Donor,711,706,653,595,550,512,484,459,480,429,383
B,All Types,All Donor Types,3233,3061,2672,2587,2366,2284,2196,2164,2164,2314,2191
,,Deceased Donor,2279,2171,1900,1862,1600,1524,1424,1432,1421,1424,1347
,,Living Donor,954,890,772,725,766,760,772,732,743,890,844
,Critical,All Donor Types,2,4,2,5,4,6,5,1,4,10,6
,,Deceased Donor,2,3,2,5,4,5,5,1,4,8,5
,,Living Donor,0,1,0,0,0,1,0,0,0,2,1
,Not Applicable,All Donor Types,11,13,15,20,12,31,78,77,81,114,146
,,Deceased Donor,4,4,4,8,1,2,1,3,5,3,5
,,Living Donor,7,9,11,12,11,29,77,74,76,111,141
,Normal,All Donor Types,2963,2827,2470,2377,2178,2074,1977,1943,1945,2041,1919
,,Deceased Donor,2271,2161,1892,1848,1593,1516,1416,1425,1412,1410,1334
,,Living Donor,692,666,578,529,585,558,561,518,533,631,585
,Low,All Donor Types,257,217,185,185,172,173,136,143,134,149,120
,,Deceased Donor,2,3,2,1,2,1,2,3,0,3,3
,,Living Donor,255,214,183,184,170,172,134,140,134,146,117
AB,All Types,All Donor Types,1180,1030,968,860,954,801,815,859,819,825,798
,,Deceased Donor,887,773,731,628,726,572,583,615,592,587,554
,,Living Donor,293,257,237,232,228,229,232,244,227,238,244
,Not Applicable,All Donor Types,9,3,1,7,3,17,20,26,21,37,48
,,Deceased Donor,4,2,1,3,0,1,0,1,1,0,3
,,Living Donor,5,1,0,4,3,16,20,25,20,37,45
,Normal,All Donor Types,1100,952,896,797,883,728,744,773,746,731,707
,,Deceased Donor,877,770,729,624,726,569,580,614,588,586,550
,,Living Donor,223,182,167,173,157,159,164,159,158,145,157
,Critical,All Donor Types,3,0,1,0,0,1,2,0,2,0,1
,,Deceased Donor,3,0,1,0,0,1,2,0,2,0,1
,,Living Donor,0,0,0,0,0,0,0,0,0,0,0
,Low,All Donor Types,68,75,70,56,68,55,49,60,50,57,42
,,Deceased Donor,3,1,0,1,0,1,1,0,1,1,0
,,Living Donor,65,74,70,55,68,54,48,60,49,56,42
