,,,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
All ABO,All Types,Deceased Donor Transplant,16518,14714,14022,13418,12236,11559,11152,10850,11026,10600,10430
,,Living Donor Transplant,6851,6430,5793,5605,5585,5283,5265,5086,5151,5464,5381
,Critical,Deceased Donor Transplant,14,12,10,17,15,21,25,18,29,34,35
,,Living Donor Transplant,3,0,1,1,1,2,3,0,4,4,6
,Normal,Deceased Donor Transplant,16482,14689,13994,13394,12214,11532,11118,10828,10992,10559,10387
,,Living Donor Transplant,5095,4740,4228,4108,4204,3991,4105,3981,3992,4297,4381
,Low,Deceased Donor Transplant,22,13,18,7,7,6,10,5,5,8,10
,,Living Donor Transplant,1753,1692,1565,1496,1381,1290,1157,1105,1156,1164,994
O,All Types,Deceased Donor Transplant,7612,6683,6500,6096,5662,5242,5121,4892,5050,4878,4722
,All Types,Living Donor Transplant,2990,2827,2481,2499,2399,2300,2324,2194,2271,2408,2446
,Critical,Deceased Donor Transplant,5,7,4,10,8,8,15,8,16,12,21
,,Living Donor Transplant,2,0,0,1,0,0,2,0,2,1,3
,Normal,Deceased Donor Transplant,7596,6671,6491,6084,5652,5230,5102,4882,5034,4864,4697
,Normal,Living Donor Transplant,2252,2120,1817,1840,1802,1749,1817,1742,1777,1884,2003
,Low,Deceased Donor Transplant,11,5,5,2,2,4,4,2,0,3,4
,Low,Living Donor Transplant,736,708,664,658,597,551,505,452,492,524,440
A,All Types,Deceased Donor Transplant,5742,5091,4895,4834,4248,4224,4026,3915,3964,3714,3810
,All Types,Living Donor Transplant,2617,2458,2304,2153,2200,2031,2021,2008,1997,2064,2016
,Critical,Deceased Donor Transplant,4,2,3,2,3,7,3,9,7,14,8
,,Living Donor Transplant,1,0,1,0,1,1,1,0,1,1,2
,Normal,Deceased Donor Transplant,5734,5086,4883,4829,4241,4217,4021,3906,3953,3697,3800
,Normal,Living Donor Transplant,1917,1759,1658,1553,1651,1518,1550,1550,1518,1630,1627
,Low,Deceased Donor Transplant,4,3,9,3,4,0,3,1,4,3,4
,Low,Living Donor Transplant,699,699,646,600,549,512,470,458,479,433,387
B,All Types,Deceased Donor Transplant,2278,2168,1898,1860,1599,1522,1423,1430,1420,1422,1347
,All Types,Living Donor Transplant,953,889,771,721,760,736,704,665,674,787,717
,Critical,Deceased Donor Transplant,2,3,2,5,4,5,5,1,4,8,5
,,Living Donor Transplant,0,0,0,0,0,1,0,0,1,2,1
,Normal,Deceased Donor Transplant,2272,2161,1893,1854,1594,1516,1416,1427,1416,1413,1340
,Normal,Living Donor Transplant,699,679,585,537,589,561,570,528,537,634,592
,Low,Deceased Donor Transplant,4,4,3,1,1,1,2,2,0,1,2
,Low,Living Donor Transplant,254,211,186,184,171,174,134,137,136,151,124
AB,All Types,Deceased Donor Transplant,886,772,729,628,727,571,582,613,592,586,551
,All Types,Living Donor Transplant,291,256,237,232,226,216,216,219,209,205,202
,Critical,Deceased Donor Transplant,3,0,1,0,0,1,2,0,2,0,1
,,Living Donor Transplant,0,0,0,0,0,0,0,0,0,0,0
,Normal,Deceased Donor Transplant,880,771,727,627,727,569,579,613,589,585,550
,Normal,Living Donor Transplant,227,182,168,178,162,163,168,161,160,149,159
,Low,Deceased Donor Transplant,3,1,1,1,0,1,1,0,1,1,0
,Low,Living Donor Transplant,64,74,69,54,64,53,48,58,49,56,43
