,,,All Transplant,Primary Transplant,Repeat Transplant
All ABO,All Types,< 30 Days,3.71%,3.77%,3.26%
,,30 to < 90 Days,7.19%,7.24%,6.75%
,,90 Days to < 6 Months,9.69%,9.75%,9.19%
,,6 Months to < 1 Year,14.70%,14.86%,13.46%
,,1 Year to < 2 Years,22.13%,22.45%,19.69%
,,2 Years to < 3 Years,14.38%,14.49%,13.55%
,,3 Years to < 5 Years,16.30%,16.30%,16.24%
,,5 or More Years,11.91%,11.13%,17.86%
,Active,< 30 Days,4.43%,4.48%,4.03%
,,30 to < 90 Days,8.51%,8.59%,7.86%
,,90 Days to < 6 Months,11.63%,11.69%,11.12%
,,6 Months to < 1 Year,17.02%,17.21%,15.43%
,,1 Year to < 2 Years,23.69%,24.07%,20.46%
,,2 Years to < 3 Years,14.11%,14.28%,12.70%
,,3 Years to < 5 Years,14.32%,14.32%,14.37%
,,5 or More Years,6.28%,5.35%,14.02%
,Inactive,< 30 Days,2.85%,2.91%,2.46%
,,30 to < 90 Days,5.63%,5.64%,5.60%
,,90 Days to < 6 Months,7.40%,7.43%,7.22%
,,6 Months to < 1 Year,11.99%,12.06%,11.50%
,,1 Year to < 2 Years,20.44%,20.66%,18.92%
,,2 Years to < 3 Years,14.71%,14.77%,14.31%
,,3 Years to < 5 Years,18.66%,18.74%,18.16%
,,5 or More Years,18.31%,17.81%,21.82%
O,All Types,< 30 Days,3.44%,3.42%,3.59%
,,30 to < 90 Days,6.62%,6.68%,6.15%
,,90 Days to < 6 Months,9.19%,9.24%,8.76%
,,6 Months to < 1 Year,14.07%,14.20%,12.98%
,,1 Year to < 2 Years,22.02%,22.20%,20.46%
,,2 Years to < 3 Years,14.89%,15.04%,13.62%
,,3 Years to < 5 Years,17.36%,17.43%,16.79%
,,5 or More Years,12.42%,11.80%,17.65%
,Active,< 30 Days,3.93%,3.88%,4.39%
,,30 to < 90 Days,7.68%,7.72%,7.28%
,,90 Days to < 6 Months,10.86%,10.88%,10.64%
,,6 Months to < 1 Year,16.33%,16.48%,14.92%
,,1 Year to < 2 Years,23.60%,23.77%,21.97%
,,2 Years to < 3 Years,14.95%,15.15%,13.05%
,,3 Years to < 5 Years,15.92%,16.02%,14.88%
,,5 or More Years,6.73%,6.09%,12.87%
,Inactive,< 30 Days,2.77%,2.78%,2.72%
,,30 to < 90 Days,5.21%,5.24%,4.91%
,,90 Days to < 6 Months,6.98%,7.00%,6.80%
,,6 Months to < 1 Year,11.14%,11.17%,10.91%
,,1 Year to < 2 Years,20.06%,20.22%,18.92%
,,2 Years to < 3 Years,14.84%,14.93%,14.16%
,,3 Years to < 5 Years,19.39%,19.47%,18.81%
,,5 or More Years,19.61%,19.19%,22.77%
A,All Types,< 30 Days,4.32%,4.54%,2.86%
,,30 to < 90 Days,8.39%,8.48%,7.78%
,,90 Days to < 6 Months,10.56%,10.69%,9.67%
,,6 Months to < 1 Year,16.03%,16.29%,14.29%
,,1 Year to < 2 Years,22.55%,23.01%,19.51%
,,2 Years to < 3 Years,13.72%,13.74%,13.62%
,,3 Years to < 5 Years,14.16%,13.96%,15.50%
,,5 or More Years,10.27%,9.30%,16.78%
,Active,< 30 Days,5.54%,5.78%,3.82%
,,30 to < 90 Days,10.48%,10.64%,9.29%
,,90 Days to < 6 Months,13.13%,13.29%,11.93%
,,6 Months to < 1 Year,18.70%,18.99%,16.61%
,,1 Year to < 2 Years,24.38%,25.08%,19.38%
,,2 Years to < 3 Years,12.74%,12.84%,12.06%
,,3 Years to < 5 Years,10.84%,10.54%,12.92%
,,5 or More Years,4.20%,2.82%,13.97%
,Inactive,< 30 Days,3.14%,3.32%,2.01%
,,30 to < 90 Days,6.38%,6.36%,6.47%
,,90 Days to < 6 Months,8.07%,8.14%,7.64%
,,6 Months to < 1 Year,13.46%,13.64%,12.37%
,,1 Year to < 2 Years,20.94%,21.14%,19.68%
,,2 Years to < 3 Years,14.64%,14.61%,14.83%
,,3 Years to < 5 Years,17.33%,17.25%,17.78%
,,5 or More Years,16.04%,15.53%,19.23%
B,All Types,< 30 Days,3.42%,3.48%,3.02%
,,30 to < 90 Days,6.66%,6.75%,5.98%
,,90 Days to < 6 Months,9.40%,9.47%,8.88%
,,6 Months to < 1 Year,14.30%,14.43%,13.35%
,,1 Year to < 2 Years,22.03%,22.54%,18.21%
,,2 Years to < 3 Years,14.06%,14.14%,13.46%
,,3 Years to < 5 Years,16.82%,16.91%,16.09%
,,5 or More Years,13.31%,12.27%,21.01%
,Active,< 30 Days,4.05%,4.20%,3.02%
,,30 to < 90 Days,7.97%,8.16%,6.56%
,,90 Days to < 6 Months,11.45%,11.54%,10.73%
,,6 Months to < 1 Year,16.69%,16.86%,15.52%
,,1 Year to < 2 Years,23.25%,23.86%,18.65%
,,2 Years to < 3 Years,13.72%,13.78%,13.23%
,,3 Years to < 5 Years,14.81%,14.80%,14.90%
,,5 or More Years,8.07%,6.81%,17.40%
,Inactive,< 30 Days,2.67%,2.63%,2.95%
,,30 to < 90 Days,5.14%,5.13%,5.19%
,,90 Days to < 6 Months,6.94%,6.97%,6.73%
,,6 Months to < 1 Year,11.43%,11.51%,10.86%
,,1 Year to < 2 Years,20.71%,21.14%,17.59%
,,2 Years to < 3 Years,14.50%,14.61%,13.70%
,,3 Years to < 5 Years,19.19%,19.43%,17.47%
,,5 or More Years,19.41%,18.58%,25.50%
AB,All Types,< 30 Days,4.90%,5.20%,3.28%
,,30 to < 90 Days,9.93%,9.89%,10.11%
,,90 Days to < 6 Months,13.05%,13.14%,12.57%
,,6 Months to < 1 Year,16.51%,17.05%,13.66%
,,1 Year to < 2 Years,20.76%,21.43%,17.21%
,,2 Years to < 3 Years,12.48%,12.52%,12.30%
,,3 Years to < 5 Years,12.92%,12.42%,15.57%
,,5 or More Years,9.45%,8.35%,15.30%
,Active,< 30 Days,8.64%,9.29%,5.78%
,,30 to < 90 Days,12.59%,12.83%,11.56%
,,90 Days to < 6 Months,17.18%,17.93%,13.87%
,,6 Months to < 1 Year,18.78%,20.16%,12.72%
,,1 Year to < 2 Years,21.02%,22.12%,16.18%
,,2 Years to < 3 Years,9.82%,9.82%,9.83%
,,3 Years to < 5 Years,7.36%,5.37%,16.18%
