,,,,To Date,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
All Removal Reason,All Types,All ABO,,"663,448","21,101","40,042","38,725","36,977","38,209","36,615","35,806","35,255","33,964","31,404","29,921","28,865","28,705","27,802","27,104","26,745","25,875","25,389","24,184","21,942","20,597","20,133","18,915","18,285","17,252","15,725","14,621","13,941","13,547"
,,O,,"316,063","10,256","19,345","18,785","17,846","18,433","17,616","17,270","17,020","16,392","15,034","14,327","13,733","13,701","13,369","13,068","12,714","12,452","12,056","11,495","10,511","9,915","9,599","8,942","8,691","7,997","7,417","6,804","6,458","6,307"
,,A,,"225,249","6,775","12,982","12,657","12,197","12,573","12,041","11,874","11,818","11,209","10,645","10,116","9,808","9,751","9,224","9,146","9,013","8,671","8,630","8,229","7,451","7,000","6,907","6,587","6,382","6,040","5,485","5,219","5,118","4,808"
,,B,,"95,303","3,205","6,158","5,819","5,499","5,654","5,509","5,250","5,099","4,942","4,507","4,268","4,122","4,086","4,059","3,811","3,955","3,683","3,635","3,495","3,115","2,878","2,820","2,624","2,501","2,464","2,196","2,006","1,791","1,839"
,,AB,,"26,953",865,"1,558","1,464","1,435","1,549","1,450","1,412","1,318","1,421","1,218","1,210","1,203","1,169","1,150","1,079","1,063","1,070","1,068",966,867,804,807,762,712,751,627,592,575,593
,,Unknown,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Not Applicable,All ABO,,149,9,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,64,6,6,9
,,O,,82,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,37,4,5,4
,,A,,45,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,0,0,4
,,B,,21,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,1,1,1
,,AB,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,All ABO,,"498,510","14,130","27,102","26,976","25,709","26,030","23,850","22,750","22,012","21,151","19,945","19,615","18,972","19,268","19,133","18,986","18,953","19,183","19,739","19,438","18,051","17,649","17,305","16,556","15,837","15,091","13,818","12,840","12,246","11,641"
,,O,,"233,139","6,703","12,809","12,872","12,097","12,252","11,181","10,682","10,318","9,962","9,339","9,198","8,804","9,093","8,999","8,925","8,742","9,109","9,217","9,131","8,525","8,445","8,175","7,759","7,474","6,915","6,442","5,915","5,641","5,396"
,,A,,"173,542","4,677","9,075","9,012","8,828","8,846","8,043","7,862","7,686","7,191","7,015","6,857","6,700","6,679","6,523","6,643","6,632","6,598","6,871","6,754","6,270","6,077","6,029","5,850","5,595","5,328","4,906","4,642","4,540","4,194"
,,B,,"70,028","2,134","4,029","3,991","3,700","3,711","3,556","3,209","3,097","2,986","2,753","2,696","2,585","2,621","2,744","2,590","2,751","2,615","2,765","2,741","2,522","2,415","2,371","2,252","2,127","2,154","1,896","1,742","1,544","1,529"
,,AB,,"21,874",616,"1,189","1,101","1,084","1,221","1,070",997,911,"1,012",838,864,883,877,867,828,828,862,886,813,736,712,730,695,642,694,574,542,522,522
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,All ABO,,995,0,0,1,11,17,10,12,17,15,22,25,14,40,44,37,43,57,55,64,36,51,39,53,54,68,50,59,54,71
,,O,,491,0,0,0,4,7,5,7,12,6,8,13,4,22,19,25,20,31,23,28,16,26,20,26,34,32,31,27,25,34
,,A,,291,0,0,0,4,5,0,3,1,5,7,5,8,11,11,5,14,16,18,22,14,16,8,11,13,21,9,24,23,21
,,B,,177,0,0,1,3,2,4,1,3,4,6,5,2,5,13,5,6,10,10,13,5,7,8,13,7,14,9,7,4,16
,,AB,,36,0,0,0,0,3,1,1,1,0,1,2,0,2,1,2,3,0,4,1,1,2,3,3,0,1,1,1,2,0
