,,,,To Date,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
All ABO,All Types,All Donor Types,,"556,302","13,554","25,500","24,670","22,817","23,401","21,167","19,849","19,060","17,878","17,108","16,896","16,487","16,816","16,900","16,829","16,521","16,634","17,095","16,485","16,007","15,138","14,781","14,279","13,631","12,767","12,455","11,710","11,411","11,084","10,646","10,360","9,738","9,678","9,416","8,656","8,878"
,,Deceased Donor,,"377,782","10,482","19,636","18,699","17,583","16,534","14,725","14,038","13,431","12,250","11,570","11,163","10,868","11,043","10,622","10,442","10,553","10,591","10,660","9,913","9,359","8,668","8,540","8,234","8,126","8,044","8,034","7,777","7,732","7,695","7,639","7,509","7,204","7,282","7,322","6,753","7,061"
,,Living Donor,,"178,520","3,072","5,864","5,971","5,234","6,867","6,442","5,811","5,629","5,628","5,538","5,733","5,619","5,773","6,278","6,387","5,968","6,043","6,435","6,572","6,648","6,470","6,241","6,045","5,505","4,723","4,421","3,933","3,679","3,389","3,007","2,851","2,534","2,396","2,094","1,903","1,817"
,Not Applicable,All Donor Types,,"49,469",64,107,120,84,100,96,100,104,122,349,567,623,735,974,"1,178","1,290","1,593","1,908","2,193","2,510","2,713","2,700","2,829","2,625","2,345","2,299","2,077","2,062","1,991","1,885","1,986","1,820","1,838","1,714","1,784","1,984"
,,Deceased Donor,,"2,433",29,54,45,35,40,26,35,25,18,25,30,29,33,43,59,64,67,84,84,111,104,89,90,63,29,23,16,14,25,24,35,47,58,126,282,472
,,Living Donor,,"47,036",35,53,75,49,60,70,65,79,104,324,537,594,702,931,"1,119","1,226","1,526","1,824","2,109","2,399","2,609","2,611","2,739","2,562","2,316","2,276","2,061","2,048","1,966","1,861","1,951","1,773","1,780","1,588","1,502","1,512"
,Kidney/Pancreas/Kidney-Pancreas: Active,All Donor Types,,"475,136","12,335","23,344","22,714","21,199","21,491","19,341","18,152","17,437","16,351","15,445","15,123","14,743","14,898","14,734","14,626","14,272","14,118","14,378","13,622","13,052","12,081","11,773","11,201","10,763","10,185","9,928","9,423","9,125","8,776","8,455","8,029","7,478","7,298","6,896","6,104","6,246"
,,Deceased Donor,,"370,832","10,436","19,549","18,636","17,522","16,459","14,678","13,979","13,385","12,205","11,519","11,101","10,817","10,974","10,536","10,340","10,436","10,455","10,505","9,758","9,179","8,486","8,372","8,073","7,988","7,932","7,930","7,671","7,622","7,500","7,452","7,243","6,853","6,816","6,547","5,830","6,048"
,,Living Donor,,"104,304","1,899","3,795","4,078","3,677","5,032","4,663","4,173","4,052","4,146","3,926","4,022","3,926","3,924","4,198","4,286","3,836","3,663","3,873","3,864","3,873","3,595","3,401","3,128","2,775","2,253","1,998","1,752","1,503","1,276","1,003",786,625,482,349,274,198
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,All Donor Types,,"1,330",0,0,0,6,14,8,8,12,14,20,21,8,25,28,21,30,35,37,37,27,35,22,40,41,56,52,55,55,65,48,60,69,87,82,90,122
,,Deceased Donor,,"1,159",0,0,0,5,11,7,7,11,13,17,19,8,22,24,18,28,33,35,34,25,30,18,34,37,39,43,44,44,52,42,49,54,81,73,85,117
,,Living Donor,,171,0,0,0,1,3,1,1,1,1,3,2,0,3,4,3,2,2,2,3,2,5,4,6,4,17,9,11,11,13,6,11,15,6,9,5,5
,Kidney/Panc/Kidney-Panc: Active-Critical status,All Donor Types,,609,0,0,0,3,3,5,3,6,2,4,7,9,7,8,19,11,16,15,25,28,34,37,19,18,25,19,13,14,22,12,28,18,27,30,52,70
,,Deceased Donor,,586,0,0,0,3,3,5,3,6,2,4,6,9,7,8,16,11,14,14,25,28,29,37,19,18,24,19,12,13,22,12,27,17,26,28,50,69
,,Living Donor,,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,1,0,0,5,0,0,0,1,0,1,1,0,0,1,1,1,2,2,1
