,,,To Date,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
All ABO,All Transplant,,"553,905","11,157","25,500","24,670","22,817","23,401","21,167","19,849","19,060","17,878","17,108","16,896","16,487","16,816","16,900","16,829","16,521","16,634","17,095","16,485","16,007","15,138","14,781","14,279","13,631","12,767","12,455","11,710","11,411","11,084","10,646","10,360","9,738","9,678","9,416","8,656","8,878"
,Primary Transplant,,"488,038","10,003","23,175","22,196","20,642","20,993","18,973","17,583","16,705","15,554","15,098","14,965","14,498","14,909","14,954","14,868","14,751","14,814","15,112","14,568","14,099","13,343","13,015","12,549","11,959","11,302","10,975","10,324","10,046","9,734","9,325","9,025","8,181","7,976","7,786","7,071","6,967"
,Repeat Transplant,,"65,867","1,154","2,325","2,474","2,175","2,408","2,194","2,266","2,355","2,324","2,010","1,931","1,989","1,907","1,946","1,961","1,770","1,820","1,983","1,917","1,908","1,795","1,766","1,730","1,672","1,465","1,480","1,386","1,365","1,350","1,321","1,335","1,557","1,702","1,630","1,585","1,911"
O,All Transplant,,"250,146","5,137","11,725","11,359","10,393","10,616","9,523","8,995","8,612","8,088","7,659","7,631","7,314","7,606","7,637","7,604","7,336","7,606","7,665","7,407","7,312","6,948","6,631","6,401","6,129","5,543","5,546","5,139","5,077","4,936","4,860","4,660","4,505","4,366","4,172","3,968","4,040"
,Primary Transplant,,"220,798","4,623","10,630","10,238","9,386","9,509","8,558","7,941","7,510","6,968","6,754","6,741","6,443","6,760","6,741","6,750","6,565","6,834","6,802","6,553","6,406","6,123","5,882","5,616","5,398","4,938","4,917","4,571","4,482","4,377","4,291","4,093","3,825","3,614","3,474","3,288","3,197"
,Repeat Transplant,,"29,348",514,"1,095","1,121","1,007","1,107",965,"1,054","1,102","1,120",905,890,871,846,896,854,771,772,863,854,906,825,749,785,731,605,629,568,595,559,569,567,680,752,698,680,843
A,All Transplant,,"205,213","3,870","8,864","8,678","8,180","8,372","7,553","7,214","7,001","6,470","6,364","6,254","6,150","6,227","6,124","6,236","6,158","6,117","6,354","6,187","5,931","5,635","5,610","5,466","5,216","4,925","4,768","4,586","4,474","4,292","4,046","4,060","3,674","3,760","3,721","3,263","3,413"
,Primary Transplant,,"179,246","3,431","8,042","7,745","7,380","7,491","6,720","6,370","6,098","5,617","5,571","5,514","5,355","5,473","5,408","5,444","5,425","5,367","5,563","5,433","5,202","4,946","4,892","4,787","4,532","4,331","4,117","3,992","3,902","3,713","3,484","3,515","3,028","3,065","3,027","2,624","2,642"
,Repeat Transplant,,"25,967",439,822,933,800,881,833,844,903,853,793,740,795,754,716,792,733,750,791,754,729,689,718,679,684,594,651,594,572,579,562,545,646,695,694,639,771
B,All Transplant,,"72,371","1,627","3,709","3,531","3,194","3,233","3,061","2,672","2,587","2,366","2,284","2,196","2,164","2,164","2,314","2,191","2,259","2,083","2,254","2,121","2,064","1,887","1,847","1,745","1,661","1,663","1,568","1,459","1,322","1,320","1,236","1,214","1,102","1,117","1,093","1,041","1,022"
,Primary Transplant,,"65,079","1,480","3,416","3,222","2,927","2,941","2,782","2,407","2,335","2,119","2,056","1,980","1,946","1,948","2,076","1,977","2,086","1,888","2,034","1,906","1,876","1,707","1,645","1,561","1,476","1,480","1,433","1,298","1,199","1,194","1,118","1,051",946,960,930,857,822
,Repeat Transplant,,"7,292",147,293,309,267,292,279,265,252,247,228,216,218,216,238,214,173,195,220,215,188,180,202,184,185,183,135,161,123,126,118,163,156,157,163,184,200
AB,All Transplant,,"26,155",523,"1,202","1,102","1,050","1,180","1,030",968,860,954,801,815,859,819,825,798,768,828,822,770,700,668,693,667,625,634,569,526,538,536,504,426,457,434,419,383,402
,Primary Transplant,,"22,896",469,"1,087",991,949,"1,052",913,865,762,850,717,730,754,728,729,697,675,725,713,676,615,567,596,585,553,551,504,463,463,450,432,366,382,337,344,301,305
,Repeat Transplant,,"3,259",54,115,111,101,128,117,103,98,104,84,85,105,91,96,101,93,103,109,94,85,101,97,82,72,83,65,63,75,86,72,60,75,97,75,82,97
Unknown,All Transplant,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,11,1,1
,Primary Transplant,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,11,1,1
,Repeat Transplant,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
