,,To Date,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
All Ages,,"170,544","4,692","6,266","6,174","5,266","5,647","5,873","6,208","6,693","6,732","6,489","6,586","6,787","6,623","6,723","6,758","6,731","6,890","6,830","6,903","6,726","6,788","6,710","6,126","6,514","5,173","4,487","4,000","3,498"
< 1 Year,,"1,592",28,33,32,29,51,47,36,36,44,26,35,31,39,48,67,55,70,79,59,66,86,90,73,80,106,96,71,79
1-5 Years,,"1,252",20,26,24,34,34,32,29,27,43,24,36,29,33,32,55,45,47,47,50,49,57,78,62,60,74,71,72,63
6-10 Years,,468,10,5,10,6,10,14,16,17,15,10,10,11,13,13,16,16,11,23,20,23,28,23,26,24,28,27,26,18
11-17 Years,,"1,175",13,12,16,24,21,18,17,25,24,20,23,23,25,31,35,30,57,56,48,71,76,68,68,100,70,77,59,69
18-34 Years,,"9,956",177,244,209,208,194,208,211,299,274,265,306,344,328,359,350,354,395,452,440,482,514,493,515,576,477,430,453,423
35-49 Years,,"35,720",718,997,920,770,825,898,983,"1,090","1,039","1,086","1,146","1,161","1,188","1,302","1,332","1,385","1,465","1,534","1,625","1,631","1,733","1,865","1,778","1,910","1,564","1,423","1,332","1,124"
50-64 Years,,"81,465","2,102","2,820","2,863","2,427","2,685","2,767","3,015","3,156","3,372","3,240","3,310","3,469","3,410","3,373","3,352","3,412","3,444","3,399","3,383","3,255","3,253","3,141","2,791","2,929","2,311","1,882","1,619","1,431"
65 +,,"38,992","1,624","2,130","2,100","1,768","1,827","1,889","1,901","2,046","1,922","1,822","1,721","1,720","1,588","1,567","1,553","1,437","1,404","1,243","1,284","1,154","1,044",957,815,839,544,484,368,293
Unknown,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
