,,,To Date,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
All Donor Types,All Donor Ages,,"917,435","39,241","41,356","39,036","39,719","36,530","34,770","33,610","30,974","29,540","28,956","28,059","28,553","28,668","28,463","27,967","28,366","28,941","28,119","27,042","25,475","24,916","24,243","23,274","22,030","21,526","20,316","19,765","19,396","18,299","17,631","16,134","15,756","15,001","13,140","12,623"
,< 1 Year,,"7,478",166,209,219,257,216,245,275,279,262,283,282,269,284,322,314,322,277,210,197,150,168,152,134,154,153,154,153,163,163,196,135,222,165,182,146
,1-5 Years,,"17,845",484,558,499,529,607,551,598,655,604,509,518,592,503,582,610,482,533,500,487,402,403,391,337,437,529,547,469,474,458,483,492,528,515,501,478
,6-10 Years,,"14,602",311,333,361,407,326,349,422,423,355,395,383,376,358,421,373,404,373,331,432,341,397,466,349,466,483,473,504,555,488,490,503,510,466,467,511
,11-17 Years,,"64,341","1,626","1,806","1,601","1,699","1,761","1,802","1,749","1,569","1,566","1,537","1,504","1,618","1,722","1,667","1,696","1,896","1,954","1,941","1,932","1,827","1,644","1,544","1,564","1,843","2,087","2,170","2,310","2,502","2,415","2,467","2,051","1,948","1,851","1,671","1,801"
,18-34 Years,,"268,095","11,519","12,066","12,354","11,528","11,108","11,071","10,702","9,444","8,576","8,263","8,129","7,986","7,835","7,103","7,457","7,602","7,344","6,977","6,278","5,658","5,359","4,426","4,034","5,393","6,546","6,638","6,497","6,571","6,506","6,681","6,139","6,486","6,449","5,686","5,684"
,35-49 Years,,"205,812","10,706","10,773","9,826","9,441","8,339","7,646","7,245","6,562","6,282","6,047","5,745","6,048","5,842","5,883","5,660","5,848","5,982","5,472","5,046","4,506","4,136","3,829","3,569","5,120","5,973","5,723","5,724","5,355","4,897","4,455","4,339","4,011","3,735","3,177","2,870"
,50-64 Years,,"138,746","6,820","7,407","6,940","6,955","5,920","5,742","5,443","4,960","4,933","4,750","4,674","4,732","4,610","4,766","4,618","4,395","4,355","4,165","3,602","3,263","2,693","2,455","2,340","2,932","3,285","3,189","2,995","2,795","2,550","2,473","2,135","1,825","1,629","1,352","1,048"
,65 +,,"24,169","1,124","1,122","1,017","1,073","1,053",859,822,786,839,881,750,747,829,883,916,946,976,937,859,694,612,529,454,627,679,587,540,436,360,383,331,221,151,87,59
,Unknown,,"176,347","6,485","7,082","6,219","7,830","7,200","6,505","6,354","6,296","6,123","6,291","6,074","6,185","6,685","6,836","6,323","6,471","7,147","7,586","8,209","8,634","9,504","10,451","10,493","5,058","1,791",835,573,545,462,3,9,5,40,17,26
Deceased Donor,All Donor Ages,,"733,088","33,281","34,814","33,310","32,322","29,681","28,588","27,630","24,985","23,721","22,968","22,193","22,531","22,107","21,854","21,749","22,053","22,208","21,214","20,050","18,661","18,297","17,645","17,335","17,011","16,980","16,266","15,983","15,921","15,211","14,733","13,563","13,329","12,878","11,222","10,794"
,< 1 Year,,"7,477",166,209,219,257,216,245,275,279,262,283,282,269,284,322,314,322,277,210,197,150,168,152,134,154,153,154,153,163,162,196,135,222,165,182,146
,1-5 Years,,"17,844",484,558,499,529,607,551,598,655,604,509,518,592,503,582,610,482,533,500,487,402,403,391,337,437,529,547,469,474,458,482,492,528,515,501,478
,6-10 Years,,"14,601",311,333,361,407,326,349,422,423,355,395,383,376,358,421,373,404,373,331,432,341,397,466,349,466,482,473,504,555,488,490,503,510,466,467,511
,11-17 Years,,"64,303","1,626","1,806","1,601","1,699","1,761","1,802","1,749","1,569","1,566","1,537","1,504","1,618","1,722","1,667","1,696","1,896","1,954","1,941","1,932","1,827","1,644","1,544","1,564","1,843","2,083","2,170","2,305","2,499","2,412","2,463","2,050","1,945","1,846","1,667","1,795"
,18-34 Years,,"253,692","11,511","12,056","12,344","11,514","11,084","11,047","10,672","9,416","8,548","8,244","8,072","7,923","7,767","7,015","7,367","7,507","7,259","6,870","6,181","5,608","5,249","4,350","3,985","4,835","5,311","5,227","5,167","5,301","5,252","5,442","5,019","5,432","5,488","4,816","4,813"
,35-49 Years,,"189,929","10,693","10,751","9,812","9,418","8,300","7,616","7,210","6,530","6,255","6,017","5,673","5,946","5,735","5,732","5,552","5,721","5,828","5,329","4,912","4,442","3,995","3,726","3,503","4,379","4,320","4,082","4,105","3,806","3,593","3,257","3,270","2,963","2,883","2,420","2,155"
,50-64 Years,,"133,110","6,815","7,396","6,926","6,933","5,900","5,726","5,421","4,937","4,919","4,728","4,636","4,675","4,553","4,702","4,555","4,337","4,300","4,091","3,547","3,234","2,645","2,415","2,317","2,644","2,660","2,600","2,475","2,286","2,115","2,048","1,788","1,525","1,350","1,085",826
,65 +,,"23,767","1,120","1,120","1,014","1,072","1,049",858,815,782,839,880,747,744,825,879,913,940,974,934,858,694,609,525,454,618,638,541,505,399,328,355,297,202,125,67,47
,Unknown,,"28,365",555,585,534,493,438,394,468,394,373,375,378,388,360,534,369,444,710,"1,008","1,504","1,963","3,187","4,076","4,692","1,635",804,472,300,438,403,0,9,2,40,17,23
Living Donor,All Donor Ages,,"184,347","5,960","6,542","5,726","7,397","6,849","6,182","5,980","5,989","5,819","5,988","5,866","6,022","6,561","6,609","6,218","6,313","6,733","6,905","6,992","6,814","6,619","6,598","5,939","5,019","4,546","4,050","3,782","3,475","3,088","2,898","2,571","2,427","2,123","1,918","1,829"
,< 1 Year,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,1-5 Years,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,6-10 Years,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,11-17 Years,,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,3,4,1,3,5,4,6
,18-34 Years,,"14,403",8,10,10,14,24,24,30,28,28,19,57,63,68,88,90,95,85,107,97,50,110,76,49,558,"1,235","1,411","1,330","1,270","1,254","1,239","1,120","1,054",961,870,871
,
,35-49 Years,,"15,883",13,22,14,23,39,30,35,32,27,30,72,102,107,151,108,127,154,143,134,64,141,103,66,741,"1,653","1,641","1,619","1,549","1,304","1,198","1,069","1,048",852,757,715
,50-64 Years,,"5,636",5,11,14,22,20,16,22,23,14,22,38,57,57,64,63,58,55,74,55,29,48,40,23,288,625,589,520,509,435,425,347,300,279,267,222
,65 +,,402,4,2,3,1,4,1,7,4,0,1,3,3,4,4,3,6,2,3,1,0,3,4,0,9,41,46,35,37,32,28,34,19,26,20,12
,Unknown,,"147,982","5,930","6,497","5,685","7,337","6,762","6,111","5,886","5,902","5,750","5,916","5,696","5,797","6,325","6,302","5,954","6,027","6,437","6,578","6,705","6,671","6,317","6,375","5,801","3,423",987,363,273,107,59,3,0,3,0,0,3
