,,,To Date,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
All Donor Types,All ABO,,"917,435","39,241","41,356","39,036","39,719","36,530","34,770","33,610","30,974","29,540","28,956","28,059","28,553","28,668","28,463","27,967","28,366","28,941","28,119","27,042","25,475","24,916","24,243","23,274","22,030","21,526","20,316","19,765","19,396","18,299","17,631","16,134","15,756","15,001","13,140","12,623"
,O,,"407,989","17,947","18,973","17,591","17,817","16,416","15,587","14,989","13,980","13,138","13,064","12,312","12,813","12,854","12,705","12,349","12,894","12,854","12,507","12,102","11,480","10,873","10,428","10,145","9,442","9,385","8,737","8,547","8,428","8,105","7,661","7,153","6,885","6,444","5,804","5,580"
,A,,"346,997","13,987","14,781","14,279","14,519","13,211","12,908","12,527","11,298","10,998","10,726","10,592","10,661","10,524","10,696","10,552","10,506","10,976","10,733","10,133","9,609","9,772","9,641","9,159","8,692","8,474","8,119","8,013","7,700","7,181","7,102","6,354","6,297","6,118","5,140","5,019"
,B,,"119,181","5,499","5,753","5,351","5,442","5,180","4,599","4,580","4,130","3,986","3,770","3,718","3,673","3,899","3,742","3,783","3,546","3,726","3,550","3,581","3,242","3,094","3,033","2,909","2,791","2,697","2,486","2,270","2,345","2,168","2,114","1,858","1,847","1,732","1,617","1,470"
,AB,,"43,217","1,808","1,849","1,815","1,941","1,723","1,676","1,514","1,566","1,417","1,395","1,432","1,397","1,385","1,318","1,280","1,420","1,384","1,329","1,226","1,144","1,177","1,140","1,061","1,102",965,974,935,923,845,754,769,726,696,578,553
,Unknown,,51,0,0,0,0,0,0,0,0,1,1,5,9,6,2,3,0,1,0,0,0,0,1,0,3,5,0,0,0,0,0,0,1,11,1,1
Deceased Donor,All ABO,,"733,088","33,281","34,814","33,310","32,322","29,681","28,588","27,630","24,985","23,721","22,968","22,193","22,531","22,107","21,854","21,749","22,053","22,208","21,214","20,050","18,661","18,297","17,645","17,335","17,011","16,980","16,266","15,983","15,921","15,211","14,733","13,563","13,329","12,878","11,222","10,794"
,O,,"325,612","15,341","16,101","15,095","14,578","13,378","12,914","12,334","11,388","10,592","10,436","9,790","10,150","9,967","9,729","9,561","10,072","9,838","9,399","8,872","8,392","7,802","7,382","7,405","7,174","7,331","6,952","6,807","6,889","6,715","6,356","5,933","5,807","5,479","4,893","4,760"
,A,,"275,917","11,708","12,292","11,990","11,676","10,596","10,450","10,209","8,942","8,749","8,400","8,258","8,305","8,012","8,179","8,169","8,059","8,371","8,065","7,503","7,049","7,302","7,138","6,920","6,762","6,753","6,502","6,572","6,328","5,966","5,967","5,390","5,316","5,312","4,425","4,282"
,B,,"95,323","4,692","4,848","4,597","4,436","4,247","3,789","3,815","3,324","3,197","2,971","2,956","2,900","2,977","2,871","2,975","2,755","2,860","2,665","2,713","2,328","2,255","2,215","2,163","2,143","2,121","1,980","1,782","1,920","1,799","1,759","1,561","1,569","1,476","1,391","1,273"
,AB,,"36,202","1,540","1,573","1,628","1,632","1,460","1,435","1,272","1,331","1,182","1,160","1,184","1,167","1,145","1,073","1,041","1,167","1,138","1,085",962,892,938,909,847,931,774,832,822,784,731,651,679,636,610,512,479
,Unknown,,34,0,0,0,0,0,0,0,0,1,1,5,9,6,2,3,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0
Living Donor,All ABO,,"184,347","5,960","6,542","5,726","7,397","6,849","6,182","5,980","5,989","5,819","5,988","5,866","6,022","6,561","6,609","6,218","6,313","6,733","6,905","6,992","6,814","6,619","6,598","5,939","5,019","4,546","4,050","3,782","3,475","3,088","2,898","2,571","2,427","2,123","1,918","1,829"
,O,,"82,377","2,606","2,872","2,496","3,239","3,038","2,673","2,655","2,592","2,546","2,628","2,522","2,663","2,887","2,976","2,788","2,822","3,016","3,108","3,230","3,088","3,071","3,046","2,740","2,268","2,054","1,785","1,740","1,539","1,390","1,305","1,220","1,078",965,911,820
,A,,"71,080","2,279","2,489","2,289","2,843","2,615","2,458","2,318","2,356","2,249","2,326","2,334","2,356","2,512","2,517","2,383","2,447","2,605","2,668","2,630","2,560","2,470","2,503","2,239","1,930","1,721","1,617","1,441","1,372","1,215","1,135",964,981,806,715,737
,B,,"23,858",807,905,754,"1,006",933,810,765,806,789,799,762,773,922,871,808,791,866,885,868,914,839,818,746,648,576,506,488,425,369,355,297,278,256,226,197
,AB,,"7,015",268,276,187,309,263,241,242,235,235,235,248,230,240,245,239,253,246,244,264,252,239,231,214,171,191,142,113,139,114,103,90,90,86,66,74
,Unknown,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,10,0,1
