,,,To Date,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
All Donor Types,All Ethnicities,,"917,435","39,241","41,356","39,036","39,719","36,530","34,770","33,610","30,974","29,540","28,956","28,059","28,553","28,668","28,463","27,967","28,366","28,941","28,119","27,042","25,475","24,916","24,243","23,274","22,030","21,526","20,316","19,765","19,396","18,299","17,631","16,134","15,756","15,001","13,140","12,623"
,"White, Non-Hispanic",,"563,176","19,944","21,355","20,989","21,639","20,136","19,527","18,799","17,174","17,313","17,124","16,723","16,968","17,116","17,284","17,012","17,574","18,061","17,820","17,244","16,418","16,370","16,109","15,696","14,983","14,672","14,054","13,749","13,446","12,732","12,619","11,463","11,433","10,961","9,539","9,130"
,"Black, Non-Hispanic",,"177,288","8,775","9,252","8,417","8,332","7,541","7,286","7,061","6,760","5,946","5,802","5,586","5,860","5,953","5,698","5,474","5,462","5,587","5,249","4,924","4,633","4,370","4,268","3,959","3,784","3,648","3,464","3,364","3,174","3,140","2,821","2,570","2,462","2,368","2,136","2,162"
,Hispanic/Latino,,"123,709","7,344","7,499","6,681","6,811","6,084","5,484","5,448","4,862","4,272","4,186","3,978","3,975","3,859","3,816","3,812","3,751","3,698","3,499","3,414","3,145","3,004","2,782","2,597","2,309","2,296","1,976","1,887","2,081","1,696","1,601","1,457","1,311","1,164","1,002",928
,Unknown,,215,0,0,0,0,0,0,0,0,1,1,6,13,6,4,3,0,1,1,1,3,10,4,0,1,4,2,1,2,15,20,13,22,43,17,21
,"Asian, Non-Hispanic",,"40,145","2,467","2,467","2,236","2,222","2,084","1,889","1,738","1,650","1,542","1,439","1,400","1,343","1,309","1,266","1,267","1,235","1,181","1,148","1,081",928,872,820,756,692,674,617,545,498,504,434,483,391,359,325,283
,"American Indian/Alaska Native, Non-Hispanic",,"6,619",294,322,281,271,284,269,230,256,232,190,193,195,201,195,224,180,222,184,203,191,165,163,171,184,150,122,155,147,157,109,110,101,82,100,86
,"Pacific Islander, Non-Hispanic",,"2,911",127,154,152,132,124,111,123,119,100,106,69,68,82,80,90,77,76,103,91,103,91,91,89,74,80,81,62,46,55,27,38,35,22,20,13
,"Multiracial, Non-Hispanic",,"3,372",290,307,280,312,277,204,211,153,134,108,104,131,142,120,85,87,115,115,84,54,34,6,6,3,2,0,2,2,0,0,0,1,2,1,0
Deceased Donor,All Ethnicities,,"733,088","33,281","34,814","33,310","32,322","29,681","28,588","27,630","24,985","23,721","22,968","22,193","22,531","22,107","21,854","21,749","22,053","22,208","21,214","20,050","18,661","18,297","17,645","17,335","17,011","16,980","16,266","15,983","15,921","15,211","14,733","13,563","13,329","12,878","11,222","10,794"
,"White, Non-Hispanic",,"438,298","16,197","17,228","17,244","16,826","15,646","15,395","14,868","13,197","13,387","13,130","12,780","12,920","12,805","12,869","12,829","13,274","13,456","13,133","12,507","11,792","11,791","11,552","11,570","11,531","11,501","11,206","11,064","10,998","10,617","10,576","9,603","9,639","9,338","8,088","7,741"
,"Black, Non-Hispanic",,"153,279","8,070","8,444","7,799","7,428","6,739","6,564","6,362","6,076","5,229","5,058","4,847","5,045","5,038","4,812","4,664","4,614","4,641","4,253","3,901","3,661","3,469","3,352","3,173","3,053","3,021","2,913","2,839","2,710","2,698","2,407","2,247","2,160","2,141","1,906","1,945"
,Hispanic/Latino,,"98,267","6,308","6,376","5,749","5,673","5,012","4,581","4,480","3,968","3,441","3,305","3,134","3,136","2,887","2,850","2,954","2,913","2,845","2,621","2,498","2,250","2,156","1,976","1,856","1,681","1,728","1,481","1,443","1,651","1,310","1,248","1,161","1,059",953,823,760
,Unknown,,198,0,0,0,0,0,0,0,0,1,1,6,13,6,4,3,0,1,1,1,3,7,4,0,1,4,2,1,2,15,18,7,18,43,17,19
,"Asian, Non-Hispanic",,"32,534","2,083","2,082","1,890","1,799","1,683","1,533","1,439","1,297","1,256","1,139","1,134","1,081","1,044","1,002",986,983,956,901,851,698,669,594,533,548,547,518,464,418,408,376,423,339,321,290,249
,"American Indian/Alaska Native, Non-Hispanic",,"5,465",259,284,259,237,254,245,206,230,209,162,159,166,159,159,175,139,167,150,153,141,125,106,137,139,122,84,127,112,124,88,90,83,63,82,70
,"Pacific Islander, Non-Hispanic",,"2,342",114,140,134,117,109,97,101,99,88,87,58,61,65,65,73,59,58,79,71,81,57,58,62,55,55,62,44,29,39,20,32,30,18,15,10
,"Multiracial, Non-Hispanic",,"2,705",250,260,235,242,238,173,174,118,110,86,75,109,103,93,65,71,84,76,68,35,23,3,4,3,2,0,1,1,0,0,0,1,1,1,0
