,,To Date,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
All Recipient Ages,,"917,435","39,241","41,356","39,036","39,719","36,530","34,770","33,610","30,974","29,540","28,956","28,059","28,553","28,668","28,463","27,967","28,366","28,941","28,119","27,042","25,475","24,916","24,243","23,274","22,030","21,526","20,316","19,765","19,396","18,299","17,631","16,134","15,756","15,001","13,140","12,623"
< 1 Year,,"9,399",242,257,280,300,278,249,293,256,280,260,277,281,290,329,343,343,315,295,273,261,255,269,268,275,291,278,246,227,262,235,233,285,241,202,130
1-5 Years,,"16,499",403,511,477,505,537,575,543,605,503,545,519,514,500,592,565,547,518,498,501,461,477,492,403,409,391,450,416,395,405,450,390,384,364,342,312
6-10 Years,,"9,811",248,288,274,347,331,292,302,332,284,295,281,273,300,315,304,273,274,307,270,290,279,245,284,279,313,275,273,292,260,266,221,262,239,228,215
11-17 Years,,"24,637",756,834,735,771,749,783,740,707,728,718,696,730,735,781,751,793,875,864,772,784,746,726,652,700,661,647,662,697,630,582,535,525,552,481,539
18-34 Years,,"125,611","3,958","4,407","3,964","4,174","3,800","3,695","3,744","3,628","3,149","3,081","3,105","3,054","3,226","3,221","3,263","3,351","3,625","3,659","3,770","3,532","3,585","3,707","3,559","3,538","3,605","3,550","3,546","3,677","3,710","3,806","3,616","3,713","3,691","3,468","3,434"
35-49 Years,,"249,403","8,939","9,453","8,719","8,713","8,057","7,786","7,526","7,175","6,412","6,310","6,390","6,609","6,894","6,967","6,976","7,453","7,745","7,801","7,946","7,734","7,868","7,779","7,860","7,516","7,382","7,086","7,036","6,917","6,488","6,103","5,699","5,564","5,316","4,701","4,483"
50-64 Years,,"358,019","15,775","16,711","15,897","16,294","15,005","14,642","14,242","12,917","12,790","12,677","12,156","12,575","12,425","12,238","12,093","12,105","12,157","11,535","10,821","10,000","9,537","9,151","8,428","7,794","7,414","6,811","6,442","6,177","5,722","5,441","4,773","4,466","4,137","3,426","3,245"
65 +,,"124,051","8,920","8,895","8,690","8,615","7,773","6,748","6,220","5,354","5,394","5,070","4,635","4,517","4,296","4,018","3,672","3,501","3,432","3,160","2,689","2,413","2,168","1,874","1,820","1,519","1,469","1,219","1,144","1,014",822,748,667,557,461,292,265
Unknown,,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
