Blood type,Priority,Patients arrived,Patients dead,Patients reneged,Patients in queue,Average waiting times
0,critical,1262.000000,0.000000,0.000000,0.000000,0.111142
0,normal,37194.000000,2908.000000,9462.000000,14738.000000,200.941172
0,low,2398.000000,582.000000,1810.000000,6.000000,0.188148
A,critical,995.000000,0.000000,1.000000,0.000000,0.129635
A,normal,24886.000000,1460.000000,6964.000000,8609.000000,178.137820
A,low,1722.000000,425.000000,1296.000000,1.000000,0.348934
B,critical,296.000000,0.000000,0.000000,0.000000,0.450687
B,normal,11148.000000,896.000000,2740.000000,4968.000000,230.551720
B,low,801.000000,181.000000,619.000000,1.000000,0.836320
AB,critical,97.000000,0.000000,0.000000,1.000000,1.284809
AB,normal,2867.000000,150.000000,737.000000,1297.000000,222.916858
AB,low,201.000000,31.000000,154.000000,16.000000,4.425846

Blood type,Organs arrived,Organs outdated,Organs in queue
0,11350.000000,2.000000,0.000000
A,8849.000000,2.000000,0.000000
B,2840.000000,0.000000,0.000000
AB,780.000000,1.000000,0.000000

,Number of transplant
Successful,20882.000000
Rejected,2543.000000

