Blood type,Priority,Successful transplants,Rejected transplants,Rejection percentage,Avg # in the node,CI # in the node
0,critical,51.000000,6.000000,10.526316,642.262536,+/-12.670549
0,normal,9920.000000,1386.000000,12.258978,642.262536,+/-12.670549
0,low,0.000000,0.000000,0.000000,642.262536,+/-12.670549
A,critical,29.000000,6.000000,17.142857,642.262536,+/-12.670549
A,normal,15688.000000,2086.000000,11.736244,642.262536,+/-12.670549
A,low,0.000000,0.000000,0.000000,642.262536,+/-12.670549
B,critical,18.000000,3.000000,14.285714,642.262536,+/-12.670549
B,normal,7122.000000,991.000000,12.214964,642.262536,+/-12.670549
B,low,0.000000,0.000000,0.000000,642.262536,+/-12.670549
AB,critical,4.000000,0.000000,0.000000,642.262536,+/-12.670549
AB,normal,1911.000000,249.000000,11.527778,642.262536,+/-12.670549
AB,low,11.000000,0.000000,0.000000,642.262536,+/-12.670549
