Blood type,Priority,Successful transplants,Rejected transplants,Rejection percentage,Avg # in the node,CI # in the node
0,critical,82.000000,10.000000,10.869565,232.677551,+/-24.823454
0,normal,20079.000000,2769.000000,12.119223,232.677551,+/-24.823454
0,low,0.000000,0.000000,0.000000,232.677551,+/-24.823454
A,critical,54.000000,6.000000,10.000000,232.677551,+/-24.823454
A,normal,18315.000000,2504.000000,12.027475,232.677551,+/-24.823454
A,low,0.000000,0.000000,0.000000,232.677551,+/-24.823454
B,critical,26.000000,0.000000,0.000000,232.677551,+/-24.823454
B,normal,8222.000000,1150.000000,12.270593,232.677551,+/-24.823454
B,low,0.000000,0.000000,0.000000,232.677551,+/-24.823454
AB,critical,4.000000,0.000000,0.000000,232.677551,+/-24.823454
AB,normal,2884.000000,392.000000,11.965812,232.677551,+/-24.823454
AB,low,0.000000,0.000000,0.000000,232.677551,+/-24.823454
