Blood type,Priority,Successful transplants,Rejected transplants,Rejection percentage,Avg # in the node,CI # in the node
0,critical,73.000000,7.000000,8.750000,651.725183,+/-8.043600
0,normal,16922.000000,2342.000000,12.157392,651.725183,+/-8.043600
0,low,0.000000,0.000000,0.000000,651.725183,+/-8.043600
A,critical,51.000000,8.000000,13.559322,651.725183,+/-8.043600
A,normal,25954.000000,3527.000000,11.963638,651.725183,+/-8.043600
A,low,0.000000,0.000000,0.000000,651.725183,+/-8.043600
B,critical,29.000000,8.000000,21.621622,651.725183,+/-8.043600
B,normal,11837.000000,1617.000000,12.018730,651.725183,+/-8.043600
B,low,0.000000,0.000000,0.000000,651.725183,+/-8.043600
AB,critical,5.000000,0.000000,0.000000,651.725183,+/-8.043600
AB,normal,3318.000000,454.000000,12.036055,651.725183,+/-8.043600
AB,low,26.000000,2.000000,7.142857,651.725183,+/-8.043600
