Blood type,Priority,Successful transplants,Rejected transplants,Rejection percentage,Avg # in the node,CI # in the node
0,critical,93.000000,0.000000,0.000000,426.316195,+/-4.893262
0,active,20696.000000,0.000000,0.000000,426.316195,+/-4.893262
0,inactive,0.000000,0.000000,0.000000,426.316195,+/-4.893262
A,critical,59.000000,0.000000,0.000000,426.316195,+/-4.893262
A,active,16248.000000,0.000000,0.000000,426.316195,+/-4.893262
A,inactive,0.000000,0.000000,0.000000,426.316195,+/-4.893262
B,critical,22.000000,0.000000,0.000000,426.316195,+/-4.893262
B,active,4991.000000,0.000000,0.000000,426.316195,+/-4.893262
B,inactive,0.000000,0.000000,0.000000,426.316195,+/-4.893262
AB,critical,13.000000,0.000000,0.000000,426.316195,+/-4.893262
AB,active,1183.000000,0.000000,0.000000,426.316195,+/-4.893262
AB,inactive,0.000000,0.000000,0.000000,426.316195,+/-4.893262
