Blood type,Priority,Successful transplants,Rejected transplants,Rejection percentage,Avg # in the node,CI # in the node
0,critical,51.000000,8.000000,13.559322,642.787148,+/-12.500439
0,normal,9839.000000,1288.000000,11.575447,642.787148,+/-12.500439
0,low,0.000000,0.000000,0.000000,642.787148,+/-12.500439
A,critical,29.000000,4.000000,12.121212,642.787148,+/-12.500439
A,normal,15709.000000,2156.000000,12.068290,642.787148,+/-12.500439
A,low,1.000000,0.000000,0.000000,642.787148,+/-12.500439
B,critical,18.000000,4.000000,18.181818,642.787148,+/-12.500439
B,normal,7093.000000,993.000000,12.280485,642.787148,+/-12.500439
B,low,1.000000,1.000000,50.000000,642.787148,+/-12.500439
AB,critical,4.000000,1.000000,20.000000,642.787148,+/-12.500439
AB,normal,1947.000000,263.000000,11.900452,642.787148,+/-12.500439
AB,low,79.000000,12.000000,13.186813,642.787148,+/-12.500439
