Blood type,Priority,Successful transplants,Rejected transplants,Rejection percentage,Avg # in the node,CI # in the node
0,critical,85.000000,12.000000,12.371134,556.064487,+/-6.571083
0,normal,19263.000000,2713.000000,12.345286,556.064487,+/-6.571083
0,low,1.000000,0.000000,0.000000,556.064487,+/-6.571083
A,critical,52.000000,10.000000,16.129032,556.064487,+/-6.571083
A,normal,17989.000000,2419.000000,11.853195,556.064487,+/-6.571083
A,low,7.000000,0.000000,0.000000,556.064487,+/-6.571083
B,critical,30.000000,2.000000,6.250000,556.064487,+/-6.571083
B,normal,8947.000000,1189.000000,11.730466,556.064487,+/-6.571083
B,low,4.000000,0.000000,0.000000,556.064487,+/-6.571083
AB,critical,5.000000,0.000000,0.000000,556.064487,+/-6.571083
AB,normal,3079.000000,401.000000,11.522989,556.064487,+/-6.571083
AB,low,59.000000,11.000000,15.714286,556.064487,+/-6.571083
