Blood type,Priority,Successful transplants,Rejected transplants,Rejection percentage,Avg # in the node,CI # in the node
0,critical,72.000000,11.000000,13.253012,651.923379,+/-7.994940
0,normal,16604.000000,2322.000000,12.268837,651.923379,+/-7.994940
0,low,0.000000,0.000000,0.000000,651.923379,+/-7.994940
A,critical,51.000000,9.000000,15.000000,651.923379,+/-7.994940
A,normal,26157.000000,3566.000000,11.997443,651.923379,+/-7.994940
A,low,1.000000,0.000000,0.000000,651.923379,+/-7.994940
B,critical,30.000000,2.000000,6.250000,651.923379,+/-7.994940
B,normal,11863.000000,1570.000000,11.687635,651.923379,+/-7.994940
B,low,2.000000,1.000000,33.333333,651.923379,+/-7.994940
AB,critical,5.000000,2.000000,28.571429,651.923379,+/-7.994940
AB,normal,3334.000000,477.000000,12.516400,651.923379,+/-7.994940
AB,low,104.000000,8.000000,7.142857,651.923379,+/-7.994940
