Blood type,Priority,Patients arrived,Patients dead,Patients reneged,Patients in queue,Avg inter-arrival times,CI inter-arrival times,Avg wait,CI wait,Avg delay,CI delay,Avg service time,CI service time,Avg # in the node,CI # in the node,Avg # in the queue,CI # in the queue,Utilization,CI utilization
0,critical,68.000000,2.000000,9.000000,0.000000,15.626695,+/-1.265001,29.107625,+/-1.838555,9.765109,+/-0.851602,19.342517,+/-1.343768,1.498466,+/-0.046605,0.498464,+/-0.046606,0.057192,+/-0.000000
0,normal,37972.000000,2888.000000,9352.000000,14056.000000,0.028435,+/-0.000085,312.301327,+/-67.378661,312.214633,+/-67.376198,0.086694,+/-0.003113,3432.029705,+/-707.833640,3431.029703,+/-707.833641,0.057192,+/-0.000000
0,low,2240.000000,553.000000,1685.000000,2.000000,19.571854,+/-20.681043,0.000000,+/-0.000000,0.000000,+/-0.000000,0.000000,+/-0.000000,1.031207,+/-0.026079,0.031205,+/-0.026079,0.057192,+/-0.000000
A,critical,35.000000,0.000000,0.000000,0.000000,24.625389,+/-2.097220,25.731282,+/-2.147574,1.042936,+/-0.091108,24.688347,+/-2.071388,1.042626,+/-0.003193,0.042624,+/-0.003193,0.057192,+/-0.000000
A,normal,26621.000000,1456.000000,6951.000000,232.000000,0.040911,+/-0.000194,13.556662,+/-1.089653,13.493465,+/-1.091078,0.063197,+/-0.001639,218.401521,+/-19.955190,217.401519,+/-19.955192,0.057192,+/-0.000000
A,low,1523.000000,382.000000,1140.000000,1.000000,26.058032,+/-40.813333,0.000000,+/-0.000000,0.000000,+/-0.000000,0.000000,+/-0.000000,1.043418,+/-0.039365,0.043416,+/-0.039365,0.057192,+/-0.000000
B,critical,22.000000,0.000000,0.000000,0.000000,76.017451,+/-21.452761,80.137521,+/-21.171297,3.253957,+/-0.604741,76.883565,+/-21.372908,1.055135,+/-0.012071,0.055133,+/-0.012072,0.057192,+/-0.000000
B,normal,11975.000000,858.000000,2753.000000,198.000000,0.091016,+/-0.000586,16.032888,+/-1.387425,15.896028,+/-1.390160,0.136860,+/-0.003416,119.177025,+/-11.461717,118.177023,+/-11.461718,0.057192,+/-0.000000
B,low,730.000000,163.000000,562.000000,5.000000,35.669420,+/-45.137106,0.000000,+/-0.000000,0.000000,+/-0.000000,0.000000,+/-0.000000,1.038089,+/-0.033610,0.038087,+/-0.033611,0.057192,+/-0.000000
AB,critical,4.000000,0.000000,0.000000,0.000000,191.489865,+/-68.325697,191.904309,+/-68.455482,0.413115,+/-0.149855,191.491194,+/-68.326224,1.001164,+/-0.000476,0.001162,+/-0.000477,0.057192,+/-0.000000
AB,normal,3064.000000,142.000000,732.000000,23.000000,0.356742,+/-0.003132,7.857954,+/-0.591185,7.345211,+/-0.598317,0.512743,+/-0.008083,15.482307,+/-1.301580,14.482305,+/-1.301582,0.057192,+/-0.000000
AB,low,172.000000,25.000000,134.000000,4.000000,33.855013,+/-45.031846,106.702976,+/-108.733624,18.732822,+/-22.999739,87.970154,+/-90.723432,1.060180,+/-0.053645,0.060178,+/-0.053646,0.057192,+/-0.000000
