Blood type,Priority,Patients arrived,Patients dead,Patients reneged,Patients in queue,Avg inter-arrival times,CI inter-arrival times,Avg wait,CI wait,Avg delay,CI delay,Avg service time,CI service time,Avg # in the node,CI # in the node,Avg # in the queue,CI # in the queue,Utilization,CI utilization
0,critical,20.000000,0.000000,1.000000,0.000000,17.176075,+/-4.228051,18.683238,+/-4.359851,1.264203,+/-0.304917,17.419035,+/-4.219242,1.069843,+/-0.018796,0.069856,+/-0.018790,0.191570,+/-0.000000
0,normal,12019.000000,977.000000,3127.000000,1436.000000,0.029982,+/-0.000287,34.058746,+/-11.684566,33.976783,+/-11.683541,0.081964,+/-0.001398,411.614170,+/-139.575707,410.614184,+/-139.575703,0.191570,+/-0.000000
0,low,0.000000,0.000000,0.000000,0.000000,0.000000,+/-0.000000,0.000000,+/-0.000000,0.000000,+/-0.000000,0.000000,+/-0.000000,0.999987,+/-0.000012,0.000000,+/-0.000000,0.191570,+/-0.000000
A,critical,16.000000,0.000000,0.000000,0.000000,18.964014,+/-1.563132,18.363269,+/-1.731028,0.276666,+/-0.077921,18.086603,+/-1.730129,1.015591,+/-0.004768,0.015604,+/-0.004764,0.191570,+/-0.000000
A,normal,7462.000000,498.000000,2251.000000,445.000000,0.048606,+/-0.000399,11.324347,+/-4.119473,11.234624,+/-4.120408,0.089724,+/-0.002212,127.343051,+/-46.686665,126.343064,+/-46.686662,0.191570,+/-0.000000
A,low,0.000000,0.000000,0.000000,0.000000,0.000000,+/-0.000000,0.000000,+/-0.000000,0.000000,+/-0.000000,0.000000,+/-0.000000,0.999987,+/-0.000012,0.000000,+/-0.000000,0.191570,+/-0.000000
B,critical,4.000000,0.000000,0.000000,0.000000,114.395105,+/-63.526421,127.624963,+/-72.177336,0.725747,+/-0.569557,126.899216,+/-72.009608,1.005883,+/-0.006293,0.005896,+/-0.006293,0.191570,+/-0.000000
B,normal,3561.000000,299.000000,894.000000,394.000000,0.103085,+/-0.001987,15.930779,+/-5.952594,15.760595,+/-5.951652,0.170184,+/-0.003016,93.219243,+/-34.187200,92.219256,+/-34.187197,0.191570,+/-0.000000
B,low,0.000000,0.000000,0.000000,0.000000,0.000000,+/-0.000000,0.000000,+/-0.000000,0.000000,+/-0.000000,0.000000,+/-0.000000,0.999987,+/-0.000012,0.000000,+/-0.000000,0.191570,+/-0.000000
AB,critical,0.000000,0.000000,0.000000,0.000000,0.000000,+/-0.000000,0.000000,+/-0.000000,0.000000,+/-0.000000,0.000000,+/-0.000000,0.999987,+/-0.000012,0.000000,+/-0.000000,0.191570,+/-0.000000
AB,normal,768.000000,29.000000,230.000000,49.000000,0.495545,+/-0.015145,5.100917,+/-1.903044,4.591785,+/-1.897237,0.509131,+/-0.011645,9.926067,+/-3.659173,8.926080,+/-3.659169,0.191570,+/-0.000000
AB,low,0.000000,0.000000,0.000000,0.000000,0.000000,+/-0.000000,0.000000,+/-0.000000,0.000000,+/-0.000000,0.000000,+/-0.000000,0.999987,+/-0.000012,0.000000,+/-0.000000,0.191570,+/-0.000000
