Blood type,Priority,Patients arrived,Patients dead,Patients reneged,Patients in queue,Avg inter-arrival times,CI inter-arrival times,Avg wait,CI wait,Avg delay,CI delay,Avg service time,CI service time,Avg # in the node,CI # in the node,Avg # in the queue,CI # in the queue,Utilization,CI utilization
0,critical,91.000000,2.000000,6.000000,2.000000,80.126983,+/-17.950117,15.544465,+/-1.843707,6.563087,+/-0.895324,8.981378,+/-0.959533,0.715610,+/-0.083554,0.301870,+/-0.040878,0.021633,+/-1.646018
0,normal,63348.000000,4735.000000,15612.000000,38454.000000,0.109526,+/-0.039019,819.168013,+/-112.888777,819.129676,+/-112.884716,0.038337,+/-0.004131,8818.068271,+/-1183.358412,8817.654532,+/-1183.316080,0.021633,+/-1.646018
0,low,24417.000000,6318.000000,18099.000000,3.000000,0.295765,+/-0.110978,0.000000,+/-0.000000,0.000000,+/-0.000000,0.000000,+/-0.000000,2.332759,+/-0.263015,1.919020,+/-0.219936,0.021633,+/-1.646018
A,critical,57.000000,0.000000,1.000000,0.000000,139.178750,+/-63.332205,15.116453,+/-1.553718,1.032797,+/-0.105135,14.083657,+/-1.450966,0.444121,+/-0.046215,0.030381,+/-0.003135,0.021633,+/-1.646018
A,normal,44274.000000,2407.000000,11400.000000,195.000000,0.163596,+/-0.063986,12.932304,+/-1.586848,12.907471,+/-1.584336,0.024834,+/-0.002550,215.591739,+/-26.740799,215.177999,+/-26.698294,0.021633,+/-1.646018
A,low,16636.000000,4000.000000,12633.000000,4.000000,0.414044,+/-0.148173,0.000000,+/-0.000000,0.000000,+/-0.000000,0.000000,+/-0.000000,3.167231,+/-0.357837,2.753491,+/-0.314858,0.021633,+/-1.646018
B,critical,30.000000,0.000000,0.000000,1.000000,177.599935,+/-49.639241,24.539353,+/-2.747708,1.553524,+/-0.163949,22.985829,+/-2.590336,0.441895,+/-0.045769,0.028155,+/-0.002768,0.021633,+/-1.646018
B,normal,20033.000000,1428.000000,4691.000000,157.000000,0.357956,+/-0.133384,13.866171,+/-1.659999,13.811237,+/-1.654431,0.054934,+/-0.005637,104.473677,+/-12.649104,104.059938,+/-12.606480,0.021633,+/-1.646018
B,low,7542.000000,1900.000000,5615.000000,30.000000,0.959246,+/-0.363840,0.000000,+/-0.000000,0.000000,+/-0.000000,0.000000,+/-0.000000,2.376562,+/-0.263963,1.962823,+/-0.220979,0.021633,+/-1.646018
AB,critical,4.000000,0.000000,0.000000,0.000000,914.070112,+/-126.780464,115.045427,+/-13.488197,0.239784,+/-0.036894,114.805643,+/-13.457814,0.414610,+/-0.043257,0.000871,+/-0.000132,0.021633,+/-1.646018
AB,normal,5246.000000,213.000000,1197.000000,22.000000,1.355269,+/-0.515349,4.980826,+/-0.598620,4.783724,+/-0.578536,0.197102,+/-0.020438,10.462602,+/-1.263312,10.048862,+/-1.220889,0.021633,+/-1.646018
AB,low,1965.000000,426.000000,1459.000000,0.000000,3.269449,+/-1.085533,218.235397,+/-23.674254,206.136676,+/-22.638066,12.098721,+/-1.070643,7.567121,+/-0.899703,7.153381,+/-0.857478,0.021633,+/-1.646018
