Blood type,Priority,Patients arrived,Patients dead,Patients reneged,Patients in queue,Avg inter-arrival times,CI inter-arrival times,Avg wait,CI wait,Avg delay,CI delay,Avg service time,CI service time,Avg # in the node,CI # in the node,Avg # in the queue,CI # in the queue,Utilization,CI utilization
0,critical,79.000000,0.000000,5.000000,0.000000,14.458184,+/-0.663056,19.197495,+/-1.621124,0.081965,+/-0.001906,19.115531,+/-1.621187,1.004612,+/-0.000253,0.004611,+/-0.000253,0.028705,+/-0.000000
0,active,46499.000000,5034.000000,980.000000,0.000000,0.024508,+/-0.000121,348.847668,+/-37.561182,348.798811,+/-37.561227,0.048857,+/-0.000151,7153.533539,+/-772.225518,7152.533538,+/-772.225516,0.028705,+/-0.000000
0,inactive,13575.000000,8266.000000,1816.000000,717.000000,0.082304,+/-0.000119,1022.673084,+/-1340.626651,1022.461693,+/-1340.350697,0.211391,+/-0.275956,3344.672394,+/-380.738804,3343.672393,+/-380.738802,0.028705,+/-0.000000
A,critical,34.000000,0.000000,0.000000,0.000000,29.515785,+/-0.855710,36.862349,+/-2.888902,0.054870,+/-0.002668,36.807478,+/-2.887997,1.001608,+/-0.000127,0.001607,+/-0.000126,0.028705,+/-0.000000
A,active,30614.000000,2436.000000,926.000000,0.000000,0.037534,+/-0.000264,329.138185,+/-36.291852,329.066046,+/-36.291888,0.072139,+/-0.000239,4567.831421,+/-504.048382,4566.831420,+/-504.048380,0.028705,+/-0.000000
A,inactive,9604.000000,4980.000000,1896.000000,465.000000,0.117661,+/-0.000494,476.241493,+/-479.966199,476.104552,+/-479.828875,0.136941,+/-0.137329,2389.237530,+/-278.087633,2388.237529,+/-278.087631,0.028705,+/-0.000000
B,critical,14.000000,0.000000,0.000000,0.000000,82.373574,+/-7.228534,100.124866,+/-8.679128,0.043157,+/-0.003710,100.081709,+/-8.676692,1.000412,+/-0.000043,0.000411,+/-0.000042,0.028705,+/-0.000000
B,active,14155.000000,1524.000000,952.000000,0.000000,0.079925,+/-0.000326,354.534891,+/-38.320218,354.370022,+/-38.319958,0.164869,+/-0.000779,2144.890817,+/-230.954153,2143.890815,+/-230.954151,0.028705,+/-0.000000
B,inactive,4095.000000,2373.000000,1719.000000,0.000000,0.268292,+/-0.000601,870431.953194,+/-154975.725923,869463.897508,+/-154845.609363,968.055687,+/-131.694381,733.656756,+/-78.786795,732.656755,+/-78.786793,0.028705,+/-0.000000
AB,critical,10.000000,0.000000,0.000000,0.000000,109.594226,+/-9.684724,134.404866,+/-12.463795,0.019281,+/-0.001518,134.385585,+/-12.462831,1.000140,+/-0.000016,0.000139,+/-0.000014,0.028705,+/-0.000000
AB,active,3468.000000,233.000000,927.000000,0.000000,0.321511,+/-0.001441,350.431635,+/-38.535513,349.679396,+/-38.528220,0.752239,+/-0.011921,459.228419,+/-48.239410,458.228418,+/-48.239408,0.028705,+/-0.000000
AB,inactive,1049.000000,201.000000,846.000000,0.000000,1.020688,+/-0.011482,2412.335219,+/-241.231399,2057.261901,+/-196.793949,355.073318,+/-48.536312,7.712826,+/-0.513398,6.712825,+/-0.513398,0.028705,+/-0.000000
