Blood type,Priority,Patients arrived,Patients dead,Patients reneged,Patients in queue,Avg inter-arrival times,CI inter-arrival times,Avg wait,CI wait,Avg delay,CI delay,Avg service time,CI service time,Avg # in the node,CI # in the node,Avg # in the queue,CI # in the queue,Utilization,CI utilization
0,critical,72.000000,5.000000,8.000000,59.000000,25.452911,+/-0.515240,1.917738,+/-0.252222,1.804656,+/-0.252757,0.113082,+/-0.001127,17.118636,+/-2.267516,16.118639,+/-2.267515,0.033631,+/-0.000000
0,active,67700.000000,4508.000000,7570.000000,55622.000000,0.026632,+/-0.000047,4833.005816,+/-731.410712,4832.672795,+/-731.406922,0.333021,+/-0.006073,14159.736524,+/-2099.667731,14158.736526,+/-2099.667730,0.033631,+/-0.000000
0,inactive,21881.000000,5187.000000,16692.000000,2.000000,0.082373,+/-0.000123,3264.290385,+/-467.536152,2349.156601,+/-332.238951,915.133784,+/-135.361841,3.641505,+/-0.043484,2.641508,+/-0.043487,0.033631,+/-0.000000
A,critical,44.000000,0.000000,0.000000,44.000000,44.036509,+/-1.668911,1.656767,+/-0.197380,1.509465,+/-0.197967,0.147302,+/-0.000796,11.328251,+/-1.371939,10.328253,+/-1.371937,0.033631,+/-0.000000
A,active,44355.000000,2198.000000,4055.000000,38102.000000,0.040947,+/-0.000125,3996.490636,+/-598.056949,3996.074011,+/-598.056346,0.416625,+/-0.002253,9562.361959,+/-1429.357201,9561.361961,+/-1429.357200,0.033631,+/-0.000000
A,inactive,15418.000000,3636.000000,11777.000000,5.000000,0.117789,+/-0.000556,0.000000,+/-0.000000,0.000000,+/-0.000000,0.000000,+/-0.000000,7.052752,+/-0.142443,6.052754,+/-0.142440,0.033631,+/-0.000000
B,critical,16.000000,0.000000,0.000000,16.000000,128.050585,+/-14.461870,2.392596,+/-0.267247,1.747022,+/-0.256425,0.645574,+/-0.123871,4.044926,+/-0.536132,3.044928,+/-0.536131,0.033631,+/-0.000000
B,active,20425.000000,1297.000000,2296.000000,16832.000000,0.092128,+/-0.001329,3997.540088,+/-753.965040,3996.705132,+/-753.903700,0.834956,+/-0.065948,4085.486404,+/-630.631119,4084.486407,+/-630.631118,0.033631,+/-0.000000
B,inactive,6718.000000,1588.000000,5124.000000,6.000000,0.268968,+/-0.000684,0.000000,+/-0.000000,0.000000,+/-0.000000,0.000000,+/-0.000000,3.499077,+/-0.051811,2.499079,+/-0.051808,0.033631,+/-0.000000
AB,critical,12.000000,0.000000,1.000000,11.000000,139.214892,+/-14.072612,9.464498,+/-1.151716,6.901024,+/-1.083929,2.563474,+/-0.467299,3.886243,+/-0.518747,2.886246,+/-0.518746,0.033631,+/-0.000000
AB,active,5082.000000,177.000000,354.000000,4551.000000,0.368467,+/-0.005696,4372.852133,+/-818.915445,4369.505584,+/-818.670653,3.346549,+/-0.263354,1116.553306,+/-171.305241,1115.553309,+/-171.305240,0.033631,+/-0.000000
AB,inactive,1743.000000,376.000000,1309.000000,58.000000,1.016702,+/-0.013225,0.000000,+/-0.000000,0.000000,+/-0.000000,0.000000,+/-0.000000,20.237923,+/-0.900311,19.237926,+/-0.900308,0.033631,+/-0.000000
