Blood type,Priority,Patients arrived,Patients dead,Patients reneged,Patients in queue,Avg inter-arrival times,CI inter-arrival times,Avg wait,CI wait,Avg delay,CI delay,Avg service time,CI service time,Avg # in the node,CI # in the node,Avg # in the queue,CI # in the queue,Utilization,CI utilization
0,critical,70.000000,3.000000,7.000000,1.000000,14.983231,+/-0.954743,27.341635,+/-1.817144,9.472267,+/-0.847468,17.869368,+/-1.294121,1.522563,+/-0.048845,0.522566,+/-0.048843,0.057192,+/-0.000000
0,normal,37874.000000,2946.000000,9419.000000,14183.000000,0.028509,+/-0.000074,307.934412,+/-67.824769,307.847027,+/-67.822152,0.087385,+/-0.003266,3346.306442,+/-701.635118,3345.306446,+/-701.635117,0.057192,+/-0.000000
0,low,14506.000000,3715.000000,10791.000000,0.000000,0.075092,+/-0.000336,0.000000,+/-0.000000,0.000000,+/-0.000000,0.000000,+/-0.000000,5.126221,+/-0.182469,4.126225,+/-0.182473,0.057192,+/-0.000000
A,critical,33.000000,0.000000,0.000000,0.000000,27.853759,+/-2.051105,29.331847,+/-2.111352,1.380886,+/-0.121488,27.950961,+/-2.015453,1.049354,+/-0.004071,0.049358,+/-0.004068,0.057192,+/-0.000000
A,normal,26692.000000,1527.000000,6847.000000,184.000000,0.040792,+/-0.000210,14.718049,+/-1.338422,14.655057,+/-1.339835,0.062992,+/-0.001693,238.291691,+/-23.920075,237.291695,+/-23.920074,0.057192,+/-0.000000
A,low,10015.000000,2431.000000,7559.000000,25.000000,0.109800,+/-0.000876,4600.945834,+/-953.272014,4045.859670,+/-846.442536,555.086164,+/-106.960129,7.865452,+/-0.302214,6.865456,+/-0.302211,0.057192,+/-0.000000
B,critical,23.000000,0.000000,0.000000,0.000000,53.899652,+/-9.271056,58.106632,+/-9.454979,3.673422,+/-0.508060,54.433210,+/-9.272422,1.066010,+/-0.010884,0.066014,+/-0.010883,0.057192,+/-0.000000
B,normal,11977.000000,903.000000,2746.000000,88.000000,0.091183,+/-0.000708,16.708272,+/-1.511189,16.569676,+/-1.514208,0.138596,+/-0.003475,122.920418,+/-12.378771,121.920421,+/-12.378770,0.057192,+/-0.000000
B,low,4514.000000,1121.000000,3378.000000,13.000000,0.238578,+/-0.001233,1441.405295,+/-294.802742,1163.862213,+/-241.836429,277.543082,+/-53.480065,5.190599,+/-0.133786,4.190603,+/-0.133789,0.057192,+/-0.000000
AB,critical,5.000000,0.000000,0.000000,0.000000,188.527062,+/-68.070553,188.822229,+/-68.158837,0.292198,+/-0.107587,188.530031,+/-68.071577,1.000876,+/-0.000408,0.000880,+/-0.000407,0.057192,+/-0.000000
AB,normal,3084.000000,120.000000,710.000000,25.000000,0.350991,+/-0.002186,8.208232,+/-0.665297,7.718579,+/-0.670462,0.489653,+/-0.006047,16.897060,+/-1.463322,15.897064,+/-1.463321,0.057192,+/-0.000000
AB,low,1221.000000,238.000000,891.000000,1.000000,0.884762,+/-0.005599,798.062766,+/-195.778510,771.351632,+/-191.293301,26.711134,+/-4.786203,28.056421,+/-3.685100,27.056425,+/-3.685098,0.057192,+/-0.000000
