Blood type,Priority,Patients arrived,Patients dead,Patients reneged,Patients in queue,Avg inter-arrival times,CI inter-arrival times,Avg wait,CI wait,Avg delay,CI delay,Avg service time,CI service time,Avg # in the node,CI # in the node,Avg # in the queue,CI # in the queue,Utilization,CI utilization
0,critical,91.000000,0.000000,1.000000,0.000000,81.588522,+/-17.828468,7.900205,+/-0.848311,0.360953,+/-0.036727,7.539252,+/-0.812828,0.433620,+/-0.045039,0.019882,+/-0.001967,0.021633,+/-1.646005
0,normal,61710.000000,4814.000000,15446.000000,33033.000000,0.113048,+/-0.040644,608.251618,+/-80.056046,608.219279,+/-80.052750,0.032339,+/-0.003351,7784.601182,+/-1028.430846,7784.187444,+/-1028.388406,0.021633,+/-1.646005
0,low,24444.000000,6209.000000,18236.000000,0.000000,0.276343,+/-0.093753,5280.059623,+/-783.433219,4364.931779,+/-648.187300,915.127844,+/-135.363803,2.388678,+/-0.245153,1.974940,+/-0.202143,0.021633,+/-1.646005
A,critical,43.000000,0.000000,0.000000,0.000000,153.075518,+/-62.307684,13.214484,+/-1.364631,0.229740,+/-0.015766,12.984744,+/-1.349737,0.421057,+/-0.043636,0.007319,+/-0.000519,0.021633,+/-1.646005
A,normal,38734.000000,2474.000000,11417.000000,13025.000000,0.187643,+/-0.073826,257.032102,+/-34.877808,256.997090,+/-34.874200,0.035012,+/-0.003675,3035.769844,+/-409.754181,3035.356106,+/-409.711843,0.021633,+/-1.646005
A,low,16819.000000,4002.000000,12819.000000,1.000000,0.417969,+/-0.149691,6940.857677,+/-1089.350617,6025.729833,+/-954.451271,915.127844,+/-135.363803,3.111524,+/-0.350501,2.697786,+/-0.307720,0.021633,+/-1.646005
B,critical,26.000000,0.000000,0.000000,0.000000,247.150943,+/-86.052402,23.087646,+/-2.542951,0.391103,+/-0.035155,22.696544,+/-2.511571,0.420956,+/-0.043692,0.007218,+/-0.000637,0.021633,+/-1.646005
B,normal,18253.000000,1409.000000,4702.000000,6368.000000,0.395050,+/-0.149341,308.498169,+/-40.958756,308.416659,+/-40.950487,0.081510,+/-0.008427,1567.425869,+/-210.473416,1567.012131,+/-210.431025,0.021633,+/-1.646005
B,low,7521.000000,1909.000000,5612.000000,4.000000,0.931095,+/-0.333732,5763.505943,+/-849.423902,4848.378098,+/-714.458578,915.127844,+/-135.363803,2.605308,+/-0.276121,2.191570,+/-0.233249,0.021633,+/-1.646005
AB,critical,4.000000,0.000000,0.000000,0.000000,914.069802,+/-126.780974,132.063581,+/-14.850963,0.152315,+/-0.024787,131.911266,+/-14.829914,0.414221,+/-0.043216,0.000483,+/-0.000078,0.021633,+/-1.646005
AB,normal,4304.000000,183.000000,1133.000000,914.000000,1.644935,+/-0.621618,102.429703,+/-14.466123,102.202263,+/-14.442754,0.227439,+/-0.023968,186.126404,+/-26.053151,185.712666,+/-26.011132,0.021633,+/-1.646005
AB,low,1939.000000,436.000000,1459.000000,65.000000,3.642682,+/-1.316078,1374.103478,+/-181.336682,1323.263042,+/-174.086080,50.840436,+/-7.520211,11.444875,+/-1.041162,11.031137,+/-1.002488,0.021633,+/-1.646005
