Blood type,Priority,Patients arrived,Patients dead,Patients reneged,Patients in queue,Avg inter-arrival times,CI inter-arrival times,Avg wait,CI wait,Avg delay,CI delay,Avg service time,CI service time,Avg # in the node,CI # in the node,Avg # in the queue,CI # in the queue,Utilization,CI utilization
0,critical,107.000000,3.000000,15.000000,1.000000,56.445317,+/-12.025701,13.364456,+/-1.439301,5.457804,+/-0.613424,7.906652,+/-0.832652,0.699418,+/-0.074715,0.285680,+/-0.031912,0.021633,+/-1.646050
0,normal,63125.000000,4706.000000,15456.000000,38566.000000,0.110465,+/-0.040178,848.241029,+/-114.738758,848.202127,+/-114.734691,0.038902,+/-0.004137,9009.995957,+/-1203.302979,9009.582219,+/-1203.260593,0.021633,+/-1.646050
0,low,24322.000000,6191.000000,18129.000000,5.000000,0.283559,+/-0.101476,0.000000,+/-0.000000,0.000000,+/-0.000000,0.000000,+/-0.000000,2.217133,+/-0.233140,1.803396,+/-0.190070,0.021633,+/-1.646050
A,critical,61.000000,0.000000,1.000000,0.000000,123.353906,+/-56.246003,13.822398,+/-1.284894,0.827235,+/-0.083461,12.995162,+/-1.204274,0.440168,+/-0.045981,0.026430,+/-0.002907,0.021633,+/-1.646050
A,normal,44411.000000,2420.000000,11596.000000,329.000000,0.158561,+/-0.059012,9.831791,+/-1.078310,9.807012,+/-1.075809,0.024779,+/-0.002568,164.171072,+/-18.103669,163.757334,+/-18.061628,0.021633,+/-1.646050
A,low,16917.000000,3987.000000,12933.000000,5.000000,0.403713,+/-0.140566,2402.339963,+/-363.493105,2173.557717,+/-329.765895,228.782246,+/-33.841486,4.324214,+/-0.482445,3.910476,+/-0.439688,0.021633,+/-1.646050
B,critical,28.000000,0.000000,0.000000,0.000000,266.396273,+/-50.767952,32.468503,+/-2.946259,1.728168,+/-0.155449,30.740335,+/-2.801408,0.437203,+/-0.045535,0.023465,+/-0.002500,0.021633,+/-1.646050
B,normal,20153.000000,1390.000000,4719.000000,153.000000,0.344586,+/-0.126834,11.035516,+/-1.202589,10.981549,+/-1.197165,0.053967,+/-0.005582,84.608617,+/-9.285960,84.194879,+/-9.244006,0.021633,+/-1.646050
B,low,7559.000000,1946.000000,5623.000000,5.000000,0.918867,+/-0.332522,6657.563080,+/-905.361109,5742.434094,+/-771.189229,915.128985,+/-135.365942,3.045532,+/-0.293964,2.631794,+/-0.251732,0.021633,+/-1.646050
AB,critical,12.000000,0.000000,0.000000,0.000000,626.637072,+/-123.261399,83.430296,+/-7.379895,0.293957,+/-0.047614,83.136339,+/-7.342428,0.415284,+/-0.043409,0.001546,+/-0.000284,0.021633,+/-1.646050
AB,normal,5180.000000,227.000000,1171.000000,42.000000,1.280312,+/-0.437777,4.316261,+/-0.412411,4.118507,+/-0.391991,0.197754,+/-0.020613,9.031817,+/-0.865105,8.618079,+/-0.822368,0.021633,+/-1.646050
AB,low,1914.000000,445.000000,1383.000000,3.000000,3.791078,+/-1.552746,113.907263,+/-12.713998,105.480902,+/-11.955668,8.426361,+/-0.787476,5.640244,+/-0.670489,5.226507,+/-0.628507,0.021633,+/-1.646050
